sn_name,sn_type,band,A,phi,sigma,k
Gaia18ddp,Ia,G,0.7309995704707908,58409.27770075079,6.526720979498529,1.4583838991653102
SDSS-II SN 18446,Ia,g',0.5560690676419764,54376.48750141654,28.641499409331065,0.10164145231388654
SDSS-II SN 18446,Ia,i',1.3824224646069565,54362.46940900056,23.388104473971367,0.10000000000000002
SDSS-II SN 18446,Ia,r',1.3676293468673937,54362.12167552549,18.755925031913375,0.10000000000000149
SDSS-II SN 18446,Ia,u',0.1107860949476653,54377.57794317697,9.004568872702528,2.1126292797895783
SDSS-II SN 18446,Ia,z',0.7879686201202085,54402.48416398595,13.721331459946827,0.1091170830641193
SN2021aexl,Ia,G,0.04780253467555102,59535.381948741364,3.8264897318269764,3.406903816559913
SDSS-II SN 696,Ia,g',1.3857225328225338,53611.29955000001,13.417776066367145,0.10000000000061832
SDSS-II SN 696,Ia,i',1.1050434383435705,53616.236282442514,26.385506732025437,0.10000000000000016
SDSS-II SN 696,Ia,r',1.4839100487698131,53616.28727226086,18.125075193202385,0.10000000000003581
SDSS-II SN 696,Ia,u',0.40552673929973204,53611.29789000001,80.93452459446894,0.10000000000000181
SDSS-II SN 696,Ia,z',1.0567226087927386,53611.29872000002,41.40530605200289,0.10000000000030794
SDSS-II SN 5311,Ia,g',1.350701759454177,53686.3862606535,3.5515545888067157,0.10012266986959499
SDSS-II SN 5311,Ia,i',0.7057681458459201,53663.40675000001,20.15370370066798,0.10000000000000002
SDSS-II SN 5311,Ia,r',0.21376967394111093,53663.4059200002,10.337884372677117,1.3148947303114011
SDSS-II SN 5311,Ia,u',0.5746580895498864,53690.71740487279,12.788845648830302,1.2626850209083904
SDSS-II SN 5311,Ia,z',0.7609189014062956,53663.40840000001,27.836969431033413,0.10000000000000002
SN2018jdq,Ia,G,1.3061485009535716,58459.70188040936,22.891416187312867,0.10000010475944322
SN2006hl,Ia,g',0.0809869299471612,53991.285650000005,6.618856808756274,2.610167162887515
SN2006hl,Ia,i',1.2708818333359826,54004.607066872006,29.90326519707587,0.10000000000000002
SN2006hl,Ia,r',1.404049083952942,54004.22763679142,21.065614932519445,0.2061583303553222
SN2006hl,Ia,u',1.1663484812900884,53997.289053849556,8.192954485859868,0.8707283699397199
SN2006hl,Ia,z',0.9623470839635565,53998.126512773095,84.0859242179163,0.10000000000000113
SN2021wlx,Ia,G,0.825877178618156,59463.120831314794,14.600254704390219,1.5996829972819762
SDSS-II SN 14568,Ia,g',1.282153210126653,54046.880605136575,199.9999999998752,0.4931517722504191
SDSS-II SN 14568,Ia,i',1.0,54068.37713,3.4902666666663813,2.0
SDSS-II SN 14568,Ia,r',0.8719141884559254,54042.434700000005,20.302502058799163,0.10000000000101393
SDSS-II SN 14568,Ia,u',1.1699862799125607,54047.43652715177,9.625780235730046,0.12612200142340615
SDSS-II SN 14568,Ia,z',0.9010811910328688,54065.28343152569,22.92877543757103,3.04595657890827
SN2005gx,Ia,g',0.014026091598896978,53634.698229104775,5.1841233849427395,3.441842034838321
SN2005gx,Ia,i',1.497730059258763,53644.26723261038,26.232120889680154,0.10840451747442427
SN2005gx,Ia,r',1.443720549744226,53643.3564061676,17.506546242887897,0.5159042334794354
SN2005gx,Ia,u',1.2715950146427122,53644.26886928076,18.706724700608458,0.105528680367347
SN2005gx,Ia,z',1.1294685512572837,53644.26104834958,35.796863934612944,0.10000000000000023
Gaia15aey,Ia,G,1.3624255385192154,57151.763912978015,32.03114949425945,0.2054715463709684
SN2019fcr,Ia,G,1.2489649955170656,58653.24508000001,36.83940316972205,0.10000000000000002
SDSS-II SN 2427,Ia,g',1.2500801578905834,53611.35964000001,17.131472223340154,0.10000000000000002
SDSS-II SN 2427,Ia,i',0.9744187950280412,53616.28563006152,31.200014850303273,0.10000000036567042
SDSS-II SN 2427,Ia,r',1.428697689938995,53616.35183477493,21.407443239615244,0.10000000786994528
SDSS-II SN 2427,Ia,u',0.3780199762915869,53628.185550408205,76.72459507716441,0.40214376130392054
