sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SN2017gas,IIn,G,57935.32269373544,57991.04295000876,2.9296910940834815,2.2518778191773936e-05,97.92813383835912,99.86737125340757
SN2019kud,IIn,G,58746.40019999999,58774.94159091802,1.4383499468708125,7.29094096674661e-05,62.21741792563298,38.28236451441517
SN2006bv,IIn,i',53856.17782468262,53856.0261507641,2.298333141412427,0.0557181739583653,4.668011829685106,99.98907423565896
SN2006bv,IIn,r',53867.82749660924,53868.645442227506,1.0819276548384078,0.04422214238943012,0.2652819910822785,0.2519764267443406
SN2021abqf,IIn,G,59525.2177216287,59551.08496954244,1.59014996299587,7.509762512949788e-10,21.36499781897819,18.863391257605
SN2017grb,IIn,G,58012.10374620334,57988.81263000001,0.010415901105875137,0.6402204828857361,27.04659119884094,99.95522021620158
SN2010bq,IIn,i',55304.76967546854,55336.934647542956,0.683241131952836,0.0015784403085137453,25.814492121407334,3.0171934691201647
SN2010bq,IIn,r',55309.707640714114,55314.283729818606,1.8776915208494018,0.005272833243136571,7.3129633112942525,3.1255961436325306
SN2006qq,IIn_LBV,g',54054.37000000064,54083.26245197004,2.822180288869804,0.00023800462366998119,37.52312837177435,99.99999987918541
SN2006qq,IIn_LBV,i',54055.32275421771,54055.320001964996,2.862862648705655,0.00045384761792897866,31.646357579612133,99.82580913121096
SN2006qq,IIn_LBV,r',54055.32000000001,54082.53768768432,2.0786082610289682,0.0006805520351820841,31.60753602750652,99.99999999999976
SN2006qq,IIn_LBV,u',54075.39037171454,54086.35246201543,1.3452979521692683,0.001549683248731804,17.34423192501399,14.829744661263332
SN2006dn,IIn,G,53932.1406,53942.1406,1.0,0.5,50.0,50.0
SN2016fir,IIn,G,57754.7775458508,57812.76154934274,1.7632954650997115,2.4010920762298426e-05,96.14178924290924,46.873923822468534
SN2020ybn,IIn,G,59180.41548228594,59177.104473264415,0.954002240236843,0.006150299715621823,9.809358823568418,0.10002555620862716
ASASSN-15uo,IIn_Pec,G,57412.91796050448,57425.464633166084,0.06359069666177367,110.75708107691577,3.4964981339608157,99.55558557580129
SN2019qem,IIn,G,58491.32227662788,58597.823889682775,6.773723260948663,3.4582315342809674e-05,99.9752018052873,47.086293799134694
SN2017hrq,IIn,G,58057.798870000006,58103.97934766462,1.892035458801119,4.191531689816394e-05,94.23916681044952,39.42357675865912
SN2017jei,IIn_Pec,G,57995.48847859423,58046.3951003053,24.513804200702225,3.8823793227957654e-05,38.21936452702475,1.3097687533864768
SN2020yrn,IIn,G,59173.31551048844,59232.320833459235,2.032435122435845,4.274596239928163e-05,96.77698288697181,73.52651980389074
SN2021qug,IIn,G,59513.0909329563,59540.754723989914,1.1518801974135413,0.0004070758094113556,65.07733686340914,0.5280009914673354
SN2006bv,IIn_LBV,i',53856.86509496197,53856.026151192724,1.990498680144123,0.05571818477160816,4.667648625588743,99.99999874100527
SN2006bv,IIn_LBV,r',53867.870865877056,53868.62536545112,1.0956063341174582,0.044338558622127475,0.2878328310031294,0.27221305761215603
SN2021uha,IIn,G,59408.916024950384,59458.412438491665,0.0043280929667158935,0.6711886122707029,23.34445189598527,90.55567589579178
SN2008aj,IIn,i',54531.33152037554,54533.485689044224,0.8068404382720696,0.013947693671669207,7.785832886184853,4.521556657539635
SN2008aj,IIn,r',54530.30565452971,54532.797561602194,0.7806185277167813,0.013419645573468317,7.762676739799377,4.541861980978811
SN2019jys,IIn,G,58509.299216785425,58584.12908349963,8.10132965701932,0.00011386931110832175,62.083391533693366,99.92619431867232
