sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SDSS-II SN 2799,Ia,g',53601.395539915226,53630.851014901426,3.1141181344113344,0.0022945237767373356,16.552366244769125,99.99833179115443
SDSS-II SN 2799,Ia,i',53654.13114435633,53657.81895642474,0.42996121929251985,0.006080078239448272,14.247060204150937,8.114433244456567
SDSS-II SN 2799,Ia,r',53676.372879999995,53678.82490691789,8.216784685608232e-06,9556.390085495994,3.926409782232571,0.30130509796268024
SDSS-II SN 2799,Ia,u',53666.39659223997,53680.071243877595,5.509316057189576,0.1456956373667313,4.844023369985381,11.76232570880488
SDSS-II SN 2799,Ia,z',53633.1270222726,53649.296281467585,0.4600920333836605,0.006458662048789031,16.866339348695227,2.4837272364008047
SN2019qym,Ia,G,58743.27633669133,58750.565396214566,0.6237250444814257,0.16924819286152978,11.350529858178733,99.99874225203628
SDSS-II SN 5659,Ia,g',53601.29480623489,53613.13742111708,0.006372601083919962,1.4523423669417819,19.95310338890474,97.90374296579863
SDSS-II SN 5659,Ia,i',53616.16737613028,53627.516723223824,0.5001404260191543,0.001037245151777837,49.158604485941474,50.13165105705712
SDSS-II SN 5659,Ia,r',53601.294573071675,53636.92484396073,0.09520082945811846,1.5786737863526152,13.680358500646852,92.25668070968713
SDSS-II SN 5659,Ia,u',53632.4750932791,53655.45814935491,5.328006095564606,27.482414545799863,3.553039908066521,99.71705600302136
SDSS-II SN 5659,Ia,z',53607.382121633535,53601.295095022986,0.9213686852615105,0.0006585132566886119,37.65847900259735,52.3545800992121
SN2017ghs,Ia,G,57978.33360761886,58046.97055724243,1.1331314404984847,0.0003356441677622506,32.37841119646409,99.99985232818118
SDSS-II SN 21389,Ia,g',54342.29284234919,54387.958947242514,9.011078361021676,0.354803236067299,9.383201316169336,99.99999999999771
SDSS-II SN 21389,Ia,i',54397.94606172339,54399.49763183268,0.002605632366779819,23.75573117187759,5.720322009469372,1.937558469769115
SDSS-II SN 21389,Ia,r',54412.262267316575,54417.52816574797,0.8495955070119531,0.022372167805750798,98.64018594862144,5.556220352481906
SDSS-II SN 21389,Ia,u',54347.340547888045,54382.27420856305,0.5159385130570205,5.633920795380352,7.284887556579806,99.96148326228453
SDSS-II SN 21389,Ia,z',54350.1792188747,54392.810481652945,1.4710119398224726,2.617282155835301,8.429414524024093,99.98638793849011
SN2021mhv,Ia,G,59350.51366571632,59378.15075585684,1.0215010892634295,3.4147246550324804e-05,34.97042296753689,0.10000024550164219
SN2017gbh,Ia,G,57961.24726174145,58013.546356025014,1.7312128071334747,0.00038635028711081254,31.470576673334666,37.14578569911332
SN2006ng,Ia,g',53959.325120445246,54018.767094026276,205.87966138885534,0.20503105703195906,8.42551754489335,99.99999999999999
SN2006ng,Ia,i',53997.532901477374,54042.143651887374,2.996552135670041,66.42557471305231,5.465983984881761,3.701854772418353
SN2006ng,Ia,r',53969.596124387186,54025.50450765307,710.0181664853493,0.03765132797244927,8.296370285081181,99.99999999422413
SN2006ng,Ia,u',53959.326201142845,54020.27392175101,0.8001735796428584,5.043311586775537,10.475165870747398,99.96713281622802
SN2006ng,Ia,z',54024.324289765646,54044.582565752535,0.6551258987248493,0.0019777328703808276,99.99853962495673,25.438989314683187
SN2016eii,Ia,G,57589.559130222566,57596.61173949703,7.245637257584546,1.3734097140912428e-05,24.138724674350748,44.79596702816231
SDSS-II SN 8489,Ia,g',53672.2129356674,53670.897304498576,0.007205803629289282,23.445030946858747,2.722391665481193,3.4007024386669187
