sn_name,sn_type,band,A,phi,sigma,k
SDSS-II SN 21698,II,g',0.7075433369288038,54343.266720001964,49.58942298820474,1.0449689460526745
SDSS-II SN 21698,II,i',0.6733220646743157,54367.18294204357,21.28668862268261,1.0991638519416131
SDSS-II SN 21698,II,r',0.8206991498624802,54343.26341000136,199.99999999999594,0.24951502309489382
SDSS-II SN 21698,II,u',1.1640400068107082e-15,54397.259202354646,1.2555747866417188,13.071401606024247
SDSS-II SN 21698,II,z',0.5539944501620139,54362.282143665834,171.38272252888373,0.10000001540993658
SDSS-II SN 19497,II,g',2.0979841292631782,54431.25379,14.490703333334144,2.0
SDSS-II SN 19497,II,i',0.8733980256502178,54341.30232000001,199.9999999999999,0.22552933604379655
SDSS-II SN 19497,II,r',1.0629835095214195,54358.26125760143,199.99999999999986,0.1663181471560904
SDSS-II SN 19497,II,u',0.9806654261789157,54431.38737998419,18.077448158716262,2.3480223287852375
SDSS-II SN 19497,II,z',3.572713810175755,54431.25296,14.490705000000162,2.0
SN2017iit,II,G,,,,
SDSS-II SN 20649,II,g',0.8733692564014205,54352.06121691487,199.9999999996273,0.22215269375705024
SDSS-II SN 20649,II,i',0.9682241511714286,54341.24532000001,65.3349731812304,0.5549768766213702
SDSS-II SN 20649,II,r',0.6964671642954234,54393.99705115242,13.695275259229865,1.1851039386511155
SDSS-II SN 20649,II,u',0.3179866133773566,54393.71330801188,8.42575097776948,1.541761287638721
SDSS-II SN 20649,II,z',0.7991182851097364,54341.24698000028,199.99999999999997,1.0791577382708755
SDSS-II SN 21798,II,g',1.054440710355577,54401.91131318083,24.86802087985243,0.5035622344106305
SDSS-II SN 21798,II,i',1.0,54433.19694,14.490390000000238,2.0
SDSS-II SN 21798,II,r',1.0373780161858202,54346.24322233215,199.99999999417219,0.3525630219787135
SDSS-II SN 21798,II,u',0.01590776604178193,54365.26900206149,9.905707179580672,3.091443337454052
SDSS-II SN 21798,II,z',0.7037005119773153,54341.25626000001,199.99999999999997,0.17675252700449973
SDSS-II SN 16742,II,g',1.2790943783668831,54048.23173986451,85.14770987617408,0.16584403455942706
SDSS-II SN 16742,II,i',2.712311447766755,54060.24862,14.819595000000845,2.0
SDSS-II SN 16742,II,r',0.9449805964212047,54048.22871537052,43.01606285803549,0.1533986138976167
SDSS-II SN 16742,II,u',0.8031204700301056,54048.22983726321,45.26781953510343,0.32870168233616504
SDSS-II SN 16742,II,z',0.37146777022323374,53969.30145000003,199.9999999998127,0.8745976442394602
SN2018hov,II,G,1.2689499507991209,58400.72406000001,121.90410338318235,0.10000000000000002
SDSS-II SN 19597,II,g',0.9765349875430034,54377.36622640551,27.04622309671933,0.39027900958025985
SDSS-II SN 19597,II,i',1.3679931980530757,54365.46620974038,45.40460813482448,0.10000000209052358
SDSS-II SN 19597,II,r',1.1361955571478375,54392.116214112255,11.744563829062416,0.5282096896952251
SDSS-II SN 19597,II,u',0.0075598170131066615,54353.43699000001,7.840038625439619,3.591674048421767
SDSS-II SN 19597,II,z',0.6883961873822897,54365.47117274312,77.68750075810117,0.1000000273296347
SDSS-II SN 4626,II,g',0.7872803893224537,53655.11575479693,58.82984218517908,0.10000000000000013
SDSS-II SN 4626,II,i',1.1589373611135954,53655.31656220524,31.492555742990707,0.10000000095183467
SDSS-II SN 4626,II,r',0.9815456168688622,53618.73140355035,58.81168728419294,0.3463046150470323
SDSS-II SN 4626,II,u',0.8071864656795005,53664.3447608157,182.53765199282782,0.28067191624477067
SDSS-II SN 4626,II,z',0.7949700847094228,53640.34766376232,118.10706395392921,0.10000000004059677
SDSS-II SN 4177,II,g',0.9683441465213152,53617.42023000001,159.1281926687959,0.10000000000080483
SDSS-II SN 4177,II,i',0.7953370984201157,53654.448459265535,183.96945454475403,0.10000000000001026
SDSS-II SN 4177,II,r',1.0515891287734576,53620.324494723,93.17051518588843,0.13826583096384568
SDSS-II SN 4177,II,u',1.4492282748708545,53684.329817645594,5.620375265009985,0.4098020915045672
SDSS-II SN 4177,II,z',0.4549017597782648,53622.40713625013,157.87675590305003,0.10000000000039967
SDSS-II SN 17793,II,g',1.1695383769060343,54349.01979370101,38.78560908729636,0.4865845924998919
SDSS-II SN 17793,II,i',1.1921982048406015,54381.263677803065,86.60787741418501,0.10000000000073485
SDSS-II SN 17793,II,r',1.074155680866824,54341.25112000001,147.56590480615526,0.10000000000000002
SDSS-II SN 17793,II,u',0.989358540208033,54355.46144897735,27.463670211678195,0.7158778484001203
SDSS-II SN 17793,II,z',0.9232077269276647,54346.25263765273,91.90234714511902,0.12101616754904378
SDSS-II SN 20749,II,g',0.8774654805753871,54343.370800000004,199.99999999595693,0.16567432518622763
SDSS-II SN 20749,II,i',0.5454987753278926,54343.36832000001,182.99026419054962,0.10000000000000002
SDSS-II SN 20749,II,r',0.712632246802357,54381.35119663901,148.96603287060879,0.10000000127247333
SDSS-II SN 20749,II,u',1.0,54433.28488,14.15262166666677,2.0
SDSS-II SN 20749,II,z',0.4075139230366383,54348.36584421008,199.9999999996447,0.13953799481192822
SDSS-II SN 983,II,g',0.7240636091856171,53611.273100000006,31.315617997377416,0.10000000000000002
SDSS-II SN 983,II,i',1.2159413379440451,53611.27061000001,47.427527618625156,0.3543246266713724
SDSS-II SN 983,II,r',1.207731988955616,53611.26978000001,46.60727647564651,0.13272945068004877
SDSS-II SN 983,II,u',0.07693572318009112,53674.430682483355,73.71921280598617,0.10000000065387744
SDSS-II SN 983,II,z',0.895924879157857,53611.27227000001,51.78931886007269,0.1000000000000947
SDSS-II SN 11492,II,g',1.2353665257110797,53687.28412556405,43.63996535982434,0.10000000785809872
SDSS-II SN 11492,II,i',1.0688945908849137,53700.33516,13.815253333334113,2.0
SDSS-II SN 11492,II,r',1.4693992357269943,53689.29539083729,19.600588951098047,0.23277490716549973
SDSS-II SN 11492,II,u',6.40311406190813,53687.28182270576,3.96346410840093,0.3236856863790843
