sn_name,sn_type,band,A,phi,sigma,k
Gaia18ddp,Ia,G,0.7310005279583768,58409.27770075654,6.526724477093931,1.4583826290053752
SDSS-II SN 18446,Ia,g',0.5762944909521709,54376.48750409173,26.140541174139177,0.12432786618088501
SDSS-II SN 18446,Ia,i',1.2169113860953558,54357.28124881026,22.559429527814537,0.3740132597700387
SDSS-II SN 18446,Ia,r',1.4505497033918946,54356.89831892292,16.72143443520622,0.34613114243105286
SDSS-II SN 18446,Ia,u',0.11082472938270599,54377.57853472335,9.005085859887473,2.112425708606318
SDSS-II SN 18446,Ia,z',6.4829624831615986e-15,54342.46686460314,4.7406619410600666,12.588572770054538
SN2021aexl,Ia,G,0.047803163250691005,59535.3819552984,3.8264942083091125,3.4068975516116673
SDSS-II SN 696,Ia,g',1.3857225338206818,53611.29955000001,13.417776045704553,0.10000000000061844
SDSS-II SN 696,Ia,i',1.1050434369397453,53616.23628244151,26.385506815079793,0.10000000000000016
SDSS-II SN 696,Ia,r',1.4839100462442685,53616.2872722607,18.125075237232167,0.10000000000003581
SDSS-II SN 696,Ia,u',0.40552674251010484,53611.29789000001,80.93452301865163,0.10000000000000182
SDSS-II SN 696,Ia,z',1.0567226091022806,53611.29872000002,41.40530598456229,0.10000000000030775
SDSS-II SN 5311,Ia,g',0.32794115430892323,53683.44536742338,57.13473171424417,0.16465231982192627
SDSS-II SN 5311,Ia,i',1.0017342091336845,53623.31566690749,21.23812680866345,0.5235744087830528
SDSS-II SN 5311,Ia,r',1.3174206940663309,53627.47749007432,13.32699167826444,0.46053484567406244
SDSS-II SN 5311,Ia,u',1.0500722525975932,53692.207122468346,28.441012260066405,0.6807022840873552
SDSS-II SN 5311,Ia,z',0.6519950978556998,53622.48797660095,32.096150334880605,0.8563931494072947
SN2018jdq,Ia,G,1.3061485007658131,58459.7018804092,22.891416193165096,0.10000010459667141
SN2006hl,Ia,g',0.00040902799139640075,53985.60571997335,4.893296482439906,4.9016277186988155
SN2006hl,Ia,i',1.2268376426227479,53995.24793069572,19.81232899066182,0.6830943629125018
SN2006hl,Ia,r',0.8496875252202911,53994.36725290027,13.578197464034183,1.1216139428462848
SN2006hl,Ia,u',1.1653549890112107,53997.28709908187,8.189105858465805,0.8716475444503589
SN2006hl,Ia,z',0.9296690570977012,53996.23715202699,96.5564468013465,0.10248118442412855
SDSS-II SN 14568,Ia,g',1.2339296869218497,53975.45431836579,40.45707664739415,0.10012441420693882
SDSS-II SN 14568,Ia,i',1.266187619141407,53986.28055704291,28.18588468040249,0.3042240414398307
SDSS-II SN 14568,Ia,r',1.2930617111098253,53989.75710212507,13.682430057947105,0.7512271072583175
SDSS-II SN 14568,Ia,u',0.544707458477212,53996.46098212579,57.20054522996959,0.1824909705844465
SDSS-II SN 14568,Ia,z',0.942294049694583,54064.91317314193,26.13503510381626,3.0387071033932553
SN2005gx,Ia,g',1.4355243663561328,53649.4008968453,9.577188080005364,0.42003775994104675
SN2005gx,Ia,i',1.4977183759977923,53644.26723352126,26.23280890822483,0.10838665782995732
SN2005gx,Ia,r',1.4437206058257515,53643.356406831044,17.506551769672914,0.5159039734826159
SN2005gx,Ia,u',1.1511076897780832,53644.2688898583,21.078879674770562,0.10323643595080505
SN2005gx,Ia,z',1.0755195724697424,53638.85645122995,28.67856273016978,0.45185125471333787
Gaia15aey,Ia,G,1.3624255160075307,57151.76391296565,32.0311517373074,0.20547152300462224
SN2019fcr,Ia,G,1.2489649954308029,58653.24508000001,36.839403210243745,0.10000000000000002
SDSS-II SN 2427,Ia,g',1.2500801603693599,53611.35964000001,17.131472174016228,0.10000000000000002
SDSS-II SN 2427,Ia,i',0.9744188006160163,53616.28563006646,31.200014554876386,0.10000000036571749
SDSS-II SN 2427,Ia,r',1.4286976935036202,53616.35183477504,21.40744316195824,0.10000000787027367
SDSS-II SN 2427,Ia,u',0.3780199259692426,53628.185550688955,76.72475235181916,0.402143264841224
SDSS-II SN 2427,Ia,z',0.9941247869816329,53626.186036048304,55.967273397945696,0.10000000000000084
SN2018gv,Ia,G,1.2567146010955788,58200.43286000019,32.45069124747448,0.10000000000000102
SN2019wwa,Ia,G,1.2599270062101209,58878.461740000006,34.66968134458945,0.10000000000002277
SDSS-II SN 7802,Ia,g',8.083829290351239e-16,53682.50257504533,1.2867470385852544,13.308275826457736
SDSS-II SN 7802,Ia,i',0.9289643695157073,53668.00000226058,13.353094418676617,0.8360112510413417
SDSS-II SN 7802,Ia,r',0.10173787882030576,53656.70584851953,10.71238731083564,2.4559785460998698
SDSS-II SN 7802,Ia,u',0.562099766670181,53611.27393000001,177.25875040112427,0.10000000000000002
