sn_name,sn_type,band,A,phi,sigma,k
SN2021adxl,IIn,G,1.0,59527.09352,456.54524499999997,2.0
SN2019vas,IIn,G,1.3404511712503806,58830.636149718644,84.86611420803378,0.10000000018676984
SN2018cvk,IIn,G,1.2935328599541085,58424.56279000001,181.95135420908667,0.10000000000000002
SN2018hzn,IIn,G,1.0,58427.79126,3.3339266666662297,2.0
SN2021jvn,IIn,G,1.219892651674209,59315.353800000004,63.23513383673798,0.10000000000000002
Gaia19eyt,IIn,G,1.3026948151315922,58787.57957000001,198.36803397762804,0.106942983226532
Gaia19asm,IIn,G,1.0,58723.44818,443.87715500000076,2.0
SN2020cke,IIn,G,1.1864145617295745,58913.685730000005,26.220531382589616,0.10000000000000002
SN2017eni,IIn,G,1.2712372875377886,57928.69526073694,67.86385294285857,0.10000000000002959
SN2005mj,IIn,g',0.9031262376477505,53689.38930413552,31.850613582967668,1.8159398516182188
SN2005mj,IIn,i',1.1387962826351397,53700.1213,13.814083333333356,2.000000000000001
SN2005mj,IIn,r',1.3805305841647424,53700.1204699256,13.814083384683444,1.9999999693851418
SN2005mj,IIn,u',0.9609485358017926,53675.879661049774,33.82552539528138,0.35701530915087404
SN2005mj,IIn,z',1.2010766968709481e-15,53629.07800385306,4.732554051343005,13.184260418898313
SN2006qq,IIn_LBV,g',1.095606166508333,54066.23000000001,52.76347028553245,0.10000000000000002
SN2006qq,IIn_LBV,i',1.238700322469008,54066.230000000025,84.14947035968548,0.10000000000329852
SN2006qq,IIn_LBV,r',0.7933142625624107,54064.37000000001,62.71524026590665,0.10000000000000002
SN2006qq,IIn_LBV,u',1.127536613703335,54066.23000000001,28.355221756761395,0.10000000000000002
SN2021ezt,IIn,G,1.691080082111062,59295.98676120872,32.79846826287774,0.4991642480440761
ASASSN-15uo,IIn_Pec,G,0.4581257528465841,57418.38579000001,58.80584984552268,0.10000000000000024
SN2007cm,IIn,i',1.2732850611623356,54246.8227232451,35.98003364656659,0.13437033153091346
SN2007cm,IIn,r',1.2196475070731925,54246.66492940103,39.566859498341984,0.10000000000000579
SN2007pk,IIn_Pec,i',1.2239808844295266,54418.956846494,61.59489316131243,0.10000000000001157
SN2007pk,IIn_Pec,r',1.3110541962586717,54415.08110452256,48.116113848199674,0.20912426177887122
SN2019kud,IIn,G,1.2274556121725904,58691.32620000001,117.0099198517432,0.10000000000000002
SN2020xkx,IIn,G,1.5153488788486102,59149.37199003393,199.99999999979173,0.31604841426125546
SN2018lmy,IIn,G,1.3761370161002813,58500.54863281836,159.9182340774797,0.23714021085853526
SN2006bo,IIn,i',1.2336427811572255,53833.48133000001,68.47527546218362,0.10000000000000002
SN2006bo,IIn,r',1.2065753269292883,53833.47973000001,61.41985769157808,0.10000000000000678
SN2020nku,IIn,G,1.1979042363545698,59018.36428000001,85.93310199287326,0.10000000000000002
SN2020kro,IIn,G,1.1935159320293747,59026.28123000001,114.98634845424391,0.10000000000000002
SN2017gas,IIn,G,1.1645325512616516,57976.306235144715,169.6401826291713,0.10000000000001161
SN2020iq,IIn,G,1.0,58866.6709,421.6914083333334,2.0
SN2008B,IIn,i',1.2986094499191916,54470.457616938045,24.684828208387312,0.1000000000002095
SN2008B,IIn,r',1.3042224026297362,54470.47041487034,23.57583108195198,0.10000000000017177
SN2017hcd,IIn,G,1.2136353031678955,58095.284250000004,66.29706879644374,0.10000000000000002
SN2016eei,IIn,G,1.3114098115658275,57551.93318000001,199.99999999999997,0.4158993014047446
SN2018awp,IIn,G,1.1851086188956845,58222.165610000004,119.70328872627833,0.10000000000000002
SN2018dyv,IIn,G,1.2618391620886513,58340.55710399692,51.80497786702917,0.10299579690315291
