supernova,type,band,t0,t1,A,B,Tfall,Trise
SN2019vsq,II,G,58893.53323742316,66247.71722600484,52261.46663972882,-26075.301672496247,9.820751467718223,30.341573581839206
AT2020qmo,II,G,59057.359778430604,59056.13381222779,0.010631017789306427,62.16002418106598,1.7924911573743512,99.99060587280071
SN2020abdi,II,G,59221.64340576484,3.272026916325558,-522.3424789762726,-426.75493295437286,9.997349148345487,29.99991707571598
SN2021acma,II,G,59577.78386979276,97316.29714273431,41231.07984563064,-20501.13290420609,9.946288767220874,30.153635780746633
SN2019dke,II,G,58584.34918991019,62213.23583038201,52349.706114017856,-26136.46320420198,5.6379475094577245,10.723683479681263
SN2016ebf,II,G,57551.04938973575,57521.54408538156,2.9409143001194953,-0.9962448155303514,10.000972272799597,29.999933514899357
SN2020esm,II_P,G,58863.51522961379,66584.13749036577,52552.29146328937,-25716.442926886237,8.614856034733378,25.437651797608073
PS1-14vk,II,g',56623.44662559659,56718.302488399466,13.413527426135952,16.393289294687378,10.380288518847859,99.99999996952124
PS1-14vk,II,i',56763.14268941869,56733.20203730947,1.6231016227368191,-0.5034047167844629,10.015638032660725,30.035597958048406
PS1-14vk,II,r',56744.08484824909,56715.57562953808,14.266682069464922,-6.746868412344791,10.001120567237502,30.006832049562963
SN2019xvo,II,G,58852.014890716855,58864.27557941716,1.1630103741512334,0.003948357130987832,24.444104791161994,1.614489071804596
SN2019ceg,II,G,58603.04752153207,58595.35643099865,238.3217899531939,-118.58418950047806,10.00018076854491,30.000844893606526
SN2021kmz,II,G,59328.43338094895,59303.01073711043,74.17396599801388,-36.54863084912491,10.000010452774854,30.000056871917376
SN2018epq,II,G,58339.32262529558,58311.26425117198,39.64446569416434,-19.319088581551398,10.000305041570197,30.00242706478078
SN2019arl,II,G,58562.406385479306,58551.13654690176,0.0003490234280495586,19.92655202659054,0.38464757451931436,0.424857208371738
SN2021abhv,II,G,59514.42099557246,59538.1438681055,159.55257073073915,-79.34451815189112,10.000418980184673,30.004001951569276
SN2019tqa,II,G,58796.62169306548,58772.51429922239,58.033185377671494,-28.581968235146196,10.000210303017953,30.000916968675714
SN2019pad,II,G,58746.89871900044,58747.56618172273,1.7190163164232044,0.36887129921211087,1.7625021466392319,0.4744180373389768
SN2022dv,II,G,59592.681020793185,59595.60484182675,284.2682481295475,-141.57009504705485,10.002841632742431,30.021341227943854
SN2019xtw,II,G,58872.91652831073,58851.10155047555,136.03289724723797,-67.46338723095826,10.000042967722235,30.0001141169364
SN2019khb,II,G,58673.920926169456,58782.068939947094,1.3360919072711404,1.6742243575224006e-05,99.99999998683506,1.011705727918964
SN2007qv,II,g',54400.452619866424,54390.526575055046,0.15497599121560288,-0.000717000017407149,22.750764140604584,34.6769938026401
SN2007qv,II,i',54421.254883257716,54336.40408729865,-0.07840081115861794,-0.07959129438299778,10.921409056908102,29.892042327609612
SN2007qv,II,r',54412.478963865295,54371.775444457104,-0.009617514824354433,-0.09217945369348043,9.221486055991537,30.034586815058347
SN2007qv,II,u',54408.227384047015,54404.8032768866,0.000897054447093269,63.52234512452242,3.7220849117539507,1.8025072203111432
SN2007qv,II,z',54429.49224927079,54345.23069797469,0.001425218161945995,-0.04553317466796714,10.138609683043043,29.979342513662324
SN2017kam,II_Pec,G,58279.11313870404,58249.86810935663,0.4934282095468552,-0.07130216386840174,9.975986965349161,30.151654130341274
SN2021ovi,II,G,59371.64174815495,62642.47695101717,53008.40932217171,-26472.513944357932,9.988672034496565,29.945685147036848
SN2021ad,II,G,59251.06115617102,59259.06476073278,1.2823444318357078,0.0001421909896738235,72.96079950610381,1.4753326494256902
SN2019hqm,II,G,58673.31664936033,58670.262171764596,370.8180791971192,-184.73116850174196,10.000535579803197,30.002325595950367
SN2020aqb,II_P,G,58885.93805947411,58856.32184648583,-0.16824345113359213,-0.05071283763627714,10.032843098073046,29.989400049387847
SN2019bao,II_Pec,G,58593.39574663827,58937.16896646514,748.0309007499155,-372.26068297195224,9.997693351458931,30.00556659223818
SN2018hi,II,G,58141.26004859519,58114.51775544783,34.27268296301277,-16.620251209849524,10.002970105941996,30.0003061788229
SN2016hdx,II,G,57672.376685316645,57649.75936092369,109.76661797268869,-54.351815557228896,10.000106411244541,30.00047844298893
SN2019va,II_P,G,58507.46976535518,58494.451378864265,332.9409468639018,-165.79655877190066,10.000455794822617,30.00466675145961
SN2018emt,II,G,58291.43320343042,63210.04295012664,52052.5393170736,-25977.666748954267,7.204780161660439,20.572104980357906
SN2020rht,II,G,59112.9057481259,59083.312248109796,0.04167484814545696,0.05085986721922967,10.147934781395158,29.960857922049268
SN2022big,II_P,G,59605.38033404293,104165.91274742351,35408.977607946996,-17614.07018339784,9.151599029347082,31.938820398905754
SN2019vsr,II,G,58836.600004612876,58808.193258169704,24.458768867301142,-11.750374003730395,10.000111203044037,30.00049571014485
SN2006kn,II_P,g',54006.78529372395,53992.412496002,4.3526098497761464e-05,93.13221347249096,10.724922051349346,0.3504841176656271
SN2006kn,II_P,i',54007.607911475636,53974.0506192291,0.00022766585442732967,3.3018306953492096,24.857384311015068,1.0344843988241235
SN2006kn,II_P,r',54009.6418977459,53980.067633635765,0.1544344552870861,-0.07260014504840856,10.326343198564249,30.064117505210294
SN2006kn,II_P,u',54012.16869078514,53982.82990794154,-0.46436786552432424,-0.01707821264251137,10.005556064905988,30.000237136444373
SN2006kn,II_P,z',53989.451345139416,53988.13729939188,0.001045414659152179,4.075027570482625,17.62754585725848,5.983489275238141
SN2018cgt,II,G,58290.01332001549,61979.74306674381,52024.11072460726,-25966.547466125565,9.940761397928135,29.85043088215643
SN2020gam,II,G,58961.09489080162,58938.91718101491,67.16965478122515,-33.154881205087534,10.000241898513519,30.00096604932586
SN2020lfn,II,G,59021.20721574492,58994.35851680432,8.443260059119977,-4.002793305546033,9.999999512894153,29.999997737995706
SN2006bo,II,g',53834.43626608226,53805.2271246561,13.720599551544884,-6.355051092922955,10.000353469678847,30.002166489773998
SN2006bo,II,i',53834.4554533077,53805.94088180486,25.656301555277583,-12.317530480091568,10.00078437225977,30.004769438784752
SN2006bo,II,r',53832.176619586986,53802.934848405064,13.057755084955039,-6.024214281774157,10.000735081480977,30.004252210614478
SN2006bo,II,u',53831.96106616548,53796.15419661987,0.0020258231107414064,0.8551637129350812,9.925352770833543,99.97757623574573
SN2019fcc,II,G,58649.180092275994,58635.3085126283,252.99819072947992,-125.8507904314425,10.000111523726714,30.000414193586288
SN2019hci,II,G,58647.46833598172,58626.000059785176,131.7830180355576,-65.36314403853315,10.000028876690896,30.000267172241976
SN2018bl,II,G,58124.51585792572,58122.568374740025,510.83882461224186,-254.65878603747674,10.001614235735508,30.011676921902218
