supernova,type,band,t0,t1,A,B,Tfall,Trise
SN2019smj,IIn,G,58771.08622333707,58619.41305371743,0.0002039942266256726,0.17019612846864213,99.99999999999999,1.6443840600349533
SN2019dvv,IIn,G,58613.88945631003,58625.511712264626,87.86448351460353,-43.3688350497258,10.014782182330016,30.001316786100926
SN2020tlf,IIn,G,59120.73979643399,59094.17505641665,63.29262815182262,-31.104050770543715,10.000158011528328,30.000921177594293
SN2017jei,IIn_Pec,G,58127.453803931116,58108.16414842308,179.02389262287693,-88.95319884587904,10.000152971257105,30.001209677389504
SN2017hcd,IIn,G,58100.284319553844,58073.193109024,40.425450692609644,-19.722885623669843,10.000002437338246,30.0000115121702
SN2016eei,IIn,G,57556.93225012038,57556.00981418058,473.07719628213107,-235.81583836839016,10.00178315111508,30.00946912322774
SN2021xwg,IIn,G,59514.87693430145,59486.88674683312,21.28360432169401,-10.232517781369324,9.999995485354686,29.999973352296745
SN2020uaq,IIn,G,59125.236700907706,59100.5745020406,46.60662924613121,-22.7379688519412,10.004159674512541,30.00028941821157
SN2018bga,IIn,G,58306.51950710687,58277.228506164334,4.159255239791017,-1.6317950981524143,10.000857166601318,29.999971155279603
SN2018aqn,IIn,G,58277.14488874166,58249.788508780235,38.246495105466686,-18.63747680005559,10.000073742019111,30.000295811552157
Gaia16ajy,IIn,G,57260.60016824285,57275.12683548332,0.00033958528660646826,-0.46748254948050133,9.90190526340736,30.017652382699218
SN2017fck,IIn,G,57936.54549303043,57923.12706086905,319.46241903670597,-159.0682897064297,10.000802604747696,30.005025105568926
SN2017djg,IIn,G,57868.01118,57838.01117999584,-3.4585811074271176e-16,0.2802879754188978,9.999999999993898,30.00000000000203
SN2019qem,IIn,G,58755.08995666205,58738.890959255754,267.2105567395303,-132.9606382295384,10.000080984554293,30.000203653211894
AT2021qim,IIn,G,59424.45306432931,59341.052035400535,0.01437420284172328,0.021273228857282965,21.26595049455712,31.16812210537524
SN2017jfs,IIn,G,58113.205846475634,58083.51844707677,-0.6667267744642187,-0.3912482034301651,10.000026869915569,29.99991447039841
SN2017gvb,IIn,G,58053.017131280765,58016.575780905674,0.10074776735891897,-15.675621330026585,9.932226417399669,30.615478598794954
SN2021kat,IIn,G,59363.960166036944,59315.959741103754,0.2616765548026228,-5.787231059350857,16.488068506694148,77.7812252090932
SN2019vpk,IIn,G,58851.14158471143,58823.04120003588,26.88701404703072,-12.970659538992834,10.000112910041917,30.000430477154843
SN2021qug,IIn,G,59011.07240636301,81148.57353375736,50074.22530127962,-23697.350903994215,4.54075357287356,13.503132603077848
SN2021gpw,IIn,G,59387.72803,59357.72803,0.8355628276785061,0.41778141383925305,10.0,30.0
SN2018gkf,IIn,G,58401.05223435665,58378.25931760461,101.62289587201455,-50.308929952212345,10.000084416863249,30.000763218506446
SN2021aess,IIn_Pec,G,59569.14060506965,59559.60388992733,0.6112766854037172,0.0008810389055937982,50.294785555204015,0.10000000000208165
SN2018bek,IIn,G,58249.47356701607,58265.31890926577,813.6189761290346,-405.7400872269526,9.974368301621027,29.850022792920377
SN2020nku,IIn,G,59023.43807965555,59003.16860846099,139.77854069838227,-69.25446040865579,10.00167658437398,30.00564837453989
SN2020kro,IIn,G,59031.28081436867,59030.7266518842,280.7997872857377,-139.72830868853157,10.004938657297204,30.030761392730614
SN2021acya,IIn,G,59566.38585003627,59583.9000924887,174.36128212455392,-86.69849796441646,10.003156507641753,30.01378093851245
SN2019npx,IIn,G,58773.70162428467,58754.20008556731,149.64314980501737,-74.28768918435934,10.000000661389683,30.000002261021255
SN2022cxa,IIn,G,59648.823433155754,59703.26854272687,28.968534488755722,-14.210605920353432,9.999996882267672,29.999995802933523
Gaia19asm,IIn,G,58723.44818,58693.448179976425,3.337413698889123e-09,0.25635741951759006,9.999999999964663,30.00000000001174
SN2018hse,IIn,G,58473.29162227089,58445.62364324457,22.901695895755285,-11.011028805423164,10.001500683766993,30.006614783948415
SN2019esa,IIn,G,58633.740479396416,58610.49998314841,130.5553409244359,-64.70183425074767,10.00047128089924,30.00288155258342
SN2017ben,IIn,G,57837.38499631953,57812.22161636609,30.31586108317264,-14.8068957204744,10.00004034078033,30.000185278138094
SN2016eem,IIn,G,57535.33679549014,61931.95003626457,51339.20625355591,-25629.734387479228,6.6719000174337415,14.515108549171451
SN2019mce,IIn,G,58703.07423213544,58675.59450892176,30.593111121368743,-14.877166863024188,10.000023975454921,30.00026253621597
