supernova,type,band,t0,t1,A,B,Tfall,Trise
SN2019qym,Ia,G,58758.277043041584,58730.521384494285,25.345394889922307,-12.140069798830803,10.000404784526472,30.000046260095502
SN2017ghs,Ia,G,57987.027483088146,57957.850280684135,12.977867590410726,-6.012508786555304,10.000016984844432,30.000071458288687
SN2021mhv,Ia,G,59350.8412825843,59321.967721534835,3.0411395385162967,-1.0333260006338914,10.037897929164131,30.00117445622193
SN2017gbh,Ia,G,57949.46738068872,58913.385502174846,12933.87985257794,-6454.428875175876,9.437721565153296,28.505391544638414
SN2006ng,Ia,g',54037.90238062763,53998.044811737156,0.00578647983653879,-0.21289714074755584,10.081899226411924,29.97613900338123
SN2006ng,Ia,i',54004.78554636097,54005.1570570108,0.05947779707565868,0.08843826274642617,17.741285652730365,4.959842739571596
SN2006ng,Ia,r',54033.76674770561,54011.20873162881,0.5990964789138251,0.0029370490900376333,11.10739004656502,6.417786986912074
SN2006ng,Ia,u',54123.57523830046,54182.16934993256,2.824106802610774e-09,-2.2998294834228072e-05,5.326719599796519,35.77142495102716
SN2006ng,Ia,z',54011.48824478076,54032.21980565606,0.45160466693790335,0.0012615407330502798,99.99999999999979,12.462757777278243
SN2016eii,Ia,G,57854.52331052395,57504.55931387248,279.5524228715773,-193.26827357758003,15.76401613232185,29.247222236306914
SN2016emr,Ia,G,57599.46142749745,57570.36520439657,13.522005055595175,-6.271092854746521,10.00005004925406,30.000207930902327
SN2017fzw,Ia,G,57994.83562398034,57966.44384443967,-0.42185113965435006,-1.0578970217752786,10.101386449632912,29.984315374988284
SN2006ln,Ia,g',54032.026248902206,54321.194168866285,2.0121159661600183,-63.01486614619659,10.027610882819284,29.991021702881007
SN2006ln,Ia,i',54017.578233415814,54008.058894134156,0.06359045333192914,0.08069624724718469,12.876484823614936,4.294323830751143
SN2006ln,Ia,r',54018.06054271018,54006.48086607642,0.025931487231440994,0.20981424048024905,11.16058425367641,4.918913796654664
SN2006ln,Ia,u',54019.14592158558,48131.65880206792,1.9590743235324527e-08,1.2746407709410608,29.640516251406066,0.2714788024694886
SN2006ln,Ia,z',54033.54900630654,53988.975232527926,0.012347208255947246,-0.5111886466673955,10.161538536183658,29.972984019052152
SN2006lo,Ia,g',54030.483607024275,50451.9581956959,2.936016628515691e-07,0.4785532980974146,11.743521139271126,3.2413005771073937
SN2006lo,Ia,i',54018.769812163366,54015.45687591149,0.05355479980603032,0.23171505931676353,10.200074184500174,3.1654790427756536
SN2006lo,Ia,r',54020.166223516055,54017.974313278355,0.21829975509682398,0.06540372744610447,8.975901022125619,0.10025881239458025
SN2006lo,Ia,u',54045.97359953277,53985.59691178622,-0.005625333535799544,-0.0189563939073374,10.089414880985707,29.976907688076732
SN2006lo,Ia,z',54012.79402904005,54012.43832024143,0.40090303029940855,0.012980761067259835,15.866300499441337,6.878252356791104
SN2020lmd,Ia,G,59085.13947827584,59057.49110161188,30.411355444345386,-14.739951380402925,10.000358055308721,30.00131079890977
SN2005gh,Ia,g',53640.42878117446,53612.70457697702,8.299229157718118e-05,27.657334276245255,8.673003955401821,4.77084602914467
SN2005gh,Ia,i',53646.015686187966,50620.56444404319,2.308730206614097e-06,0.07205474672215048,15.245147032065418,5.07968679792293
SN2005gh,Ia,r',53634.12691654391,53604.53555227573,3.2941169287268766,-1.1450013078511705,9.994929814792007,30.000731483740147
SN2005gh,Ia,u',53631.43152842075,53632.33122445904,2.6537027100759242e-05,2758.319386136258,5.4562271462618,1.358637960444686
SN2005gh,Ia,z',53634.45618340775,53602.90050850265,-0.14615911468158124,-0.9798731201000488,9.167679095339569,29.997100308668454
SN2019bkh,Ia,G,58605.519834636,58577.72321142467,27.15707208026454,-13.128283750476823,10.00021076622349,30.000818874021842
SN2007gt,Ia,g',54357.40655306017,54330.12908936771,24.743170456329477,-12.001815442585496,10.00288680118805,30.019655620479682
SN2007gt,Ia,i',54357.31495446934,54327.872665632516,9.567877600307037,-4.32793182783062,10.000551737296533,30.00377898008844
SN2007gt,Ia,r',54357.29461709493,54329.4768534527,29.21684578683896,-14.164772775673061,10.000331437832683,30.002525979224238
SN2007gt,Ia,u',54357.31646551577,54328.57326700234,24.471030586438257,-11.721050446436877,10.000642082519903,30.004434768587018
SN2007gt,Ia,z',54357.30693056155,54327.8158389816,9.860316708093047,-4.453958471316261,10.000282853089052,30.001887879965132
SN2006lq,Ia,g',53628.5732606852,53987.6826386097,-0.418280032803834,-0.3316556035423345,6.9620629837091546,62.69548096172049
SN2006lq,Ia,i',53419.19072488278,53995.367456856795,-2.160971425283902,-2.3719685288710615,5.179247128144459,57.322853586792334
SN2006lq,Ia,r',52564.29632738352,54327.83358777327,-6.176638563153018,-0.7778737104691792,3.565638659849096,78.87223614524717
SN2006lq,Ia,u',53989.41415443987,53961.06742128994,32.23871245161929,-15.605369821478194,10.000011852208113,29.99985715034259
SN2006lq,Ia,z',53999.156897807625,54005.12587025163,0.3357113220314464,0.031245149441917825,12.234295627855113,2.649704782427044
SN2020qyg,Ia,G,59008.85016439014,62894.95409640336,52709.88171932141,-26313.08616312577,8.334642846209938,23.846088534999303
SN2021ik,Ia,G,59233.16229307253,62556.62382358776,52886.93835867517,-26401.69709013366,9.959446382704199,29.89263392262646
SN2020qic,Ia,G,59097.86765206265,93012.29295888287,43295.65608900415,-21510.35058902173,9.976289507058123,30.065922434617764
SN2018grc,Ia,G,58385.58453048669,58357.77582684703,21.365395229077443,-10.176473273319134,10.000647155664284,30.000062168947142
SN2020acwj,Ia,G,59232.12584,59202.12583991182,6.9165131009671366e-09,0.43431758831206224,9.999999999868209,30.00000000004378
SN2007sf,Ia,g',54433.69609060576,54377.45565474057,0.00034186874174196494,-0.028401359692430923,9.83923616808573,29.99356697187262
SN2007sf,Ia,i',54439.20828195166,54364.27575305364,0.0009298476049883674,-0.10129197331124418,10.248851420831468,29.979229983376943
SN2007sf,Ia,r',54415.59486580427,54411.04120613771,0.017401661115765365,0.47288659903956426,12.610793674055675,3.2499917383912473
SN2007sf,Ia,u',54432.42659972747,54406.667516400885,3.1657762164566335e-05,142.95251999134038,0.9492600833191916,0.8994692313421806
SN2007sf,Ia,z',54760.70134140294,54354.76323461813,1.7292593567738224,0.003169895381189245,42.1441022811893,28.744209396078162
SN2007mb,Ia,g',54391.024135120155,54354.577073524175,0.015022243280370794,-0.024605908091955342,10.208251948847971,30.07479118950564
SN2007mb,Ia,i',54373.61021865761,54363.15688184947,0.1039390948461173,0.04952372702584451,10.149017383544345,4.194007209827115
SN2007mb,Ia,r',54383.863804575136,51639.48654712221,3.969241248078393e-08,6.052391154771801,15.037143728829703,4.820104333704093
SN2007mb,Ia,u',54915.75518533823,54347.220690020025,3.5642949330649555e-18,0.012608072787801195,12.638558053429994,99.99999999999999
SN2007mb,Ia,z',54426.99443816711,54356.63381608477,0.002955131455102211,-1.0802453481928627,10.614650825624672,30.198566493370688
SN2019nzx,Ia,G,58730.344323223806,58703.917663429114,52.24940505984527,-25.61157311257863,9.999994554309858,29.99997885778833
SN2017ayp,Ia,G,57799.5326381457,57804.30198558095,9.070539857754557,0.046059619558952214,4.156547113719724,99.9997532402759
SN2019pdx,Ia,G,58768.73588574419,58740.07210011351,22.694949672649756,-10.863204020097127,10.000037567127423,30.00019596272002
SN2021agkc,Ia,G,59594.9369125898,59568.06758585446,45.70438472863969,-22.37718767349318,10.000021106528939,30.000091101949597
SN2006eq,Ia,g',53974.20962272371,53944.22743508688,1.7910018333712223,-0.4161864819339099,10.000343748860177,30.002342415442083
SN2006eq,Ia,i',53974.19288280125,53944.584009834456,5.135090653282578,-2.0802714917419083,10.00005430979775,30.00024312005568
SN2006eq,Ia,r',53974.218810547056,53944.24290711788,-1.264093941049138,-1.7826980309593559,9.999766471612311,29.99750753826968
SN2006eq,Ia,u',53974.20035939806,53944.623799224595,10.126237054102713,-4.561880844994867,10.000206104657087,30.001306500448152
SN2006eq,Ia,z',53989.73683695924,53959.59873510114,-0.23552788009782938,-0.0721366628712394,10.005423202735392,29.652986699282074
SN2017ejy,Ia,G,57920.159593204335,57890.74961774258,9.644165270268742,-4.349299027926405,10.000069732718801,30.000260098495758
SN2021kcu,Ia,G,59332.29303319619,59305.68983896015,49.2858703617264,-24.176150123273306,10.00001822734845,30.00013170992388
SN2018fgq,Ia,G,58346.235118006785,58320.27452261456,31.355273038447976,-15.293983707661514,10.000300242197609,30.002280111536383
SN2005gc,Ia,g',53642.216197678536,53621.25727126132,3.225179473904282e-05,126.12381820581602,7.582257929954797,4.649123702400394
SN2005gc,Ia,i',53653.740102147625,53624.612048159244,-1292.516732844283,-53609.41825610272,9.907988242835824,30.00657521511695
SN2005gc,Ia,r',53642.04976343799,46906.51400994176,2.4763736481705292e-08,1.4713868067457203,24.14522856140713,3.734097024938417
SN2005gc,Ia,u',53638.78861175793,53630.24526296031,0.12549637473806013,0.12362151821707897,5.4671936910740735,3.6353133604827943
SN2005gc,Ia,z',54236.73689128856,53622.84063419968,1.6934565940409225e-18,1.0739277844673423,14.748687672120758,99.99999999999999
SN2016fbz,Ia,G,57620.911243274895,57668.106023227134,30.035177953540792,-14.686100448603478,10.000246543545167,29.9999912368459
SN2018eml,Ia,G,58344.67028200478,58316.39549351247,33.53916988560953,-16.2637484316537,10.000040390878898,30.000318881302817
SN2017erv,Ia,G,57947.119837458435,57920.322367085544,58.29156874239485,-28.62693757953535,10.000063510837627,30.000317548810624
SN2006fx,Ia,g',53891.30492769965,53973.87815693246,30597.984313890476,0.0951938949729539,7.429936713681028,99.99999999551528
SN2006fx,Ia,i',53982.641408832336,42632.28794773212,8.459139482779156e-10,11.925055522951675,32.14880772402364,3.695734578832746
SN2006fx,Ia,r',53985.98495815142,53929.84133068943,-0.26624241813551147,-0.0077549619402123866,9.900089087548537,29.334784129783216
SN2006fx,Ia,u',54022.37573472685,54025.66753340701,0.18353042328011218,0.03274212602890533,13.230439831264821,4.723979982030454
SN2006fx,Ia,z',54018.589900278144,53994.65263358763,0.2566767293989189,-0.31064315507823426,10.090424013076223,29.942861630614857
SN2006jg,Ia,g',54005.64268312856,53977.24339465828,-0.3753817943437054,-0.23995095497246088,10.047370845136111,29.6735594286436
SN2006jg,Ia,i',53878.41155469361,53997.26413297465,199151.96564164036,0.09351281140054979,8.812262055379158,99.99999996137446
SN2006jg,Ia,r',53999.45559803838,53980.237999941804,5.908741672719661e-05,67.17291466300489,9.027588292032162,5.632607132837121
SN2006jg,Ia,u',54050.97833167464,54036.68697254782,0.3506699363832062,0.016683670385759807,0.4390456027299775,0.42920061387627534
SN2006jg,Ia,z',54054.955727926885,53962.000397706994,0.003118938954849564,-0.05825663908082653,10.105939030622835,29.933664665241245
SN2017jr,Ia,G,57755.69970699949,57797.27446898736,807.8861049544236,-398.28426063192325,9.998549617684299,29.99659604131458
SN2006fz,Ia,g',53997.02937175871,53982.883522453296,3.2753377470005424e-05,231.61632882012282,6.625965488040923,3.2952309030155282
SN2006fz,Ia,i',54007.17022053774,53973.53748314552,0.0028487725422909325,-0.24331798590453618,10.053424288086479,29.664529787638404
SN2006fz,Ia,r',53998.61992419485,40718.64882312442,4.0421268525936445e-09,2.095093276076785,20.32862879641951,3.1288912071197466
SN2006fz,Ia,u',53996.8170144089,49776.046445775486,3.836534598410873e-09,23.703278766093327,8.712610409393221,1.6235986614367413
SN2006fz,Ia,z',54035.17947068615,53970.051478442154,-0.00011783985041291956,-0.4987014703797969,9.917972083838162,30.01531337588457
K0509-001,Ia,g',53628.34864488585,53598.43070874514,-0.7745289719354178,-0.5255424239595321,10.00093098564435,29.99949736342212
K0509-001,Ia,i',53623.13078768754,53578.463685926334,4.1038928268437265e-05,12.410918792569007,16.85156252710067,0.14419244642115597
K0509-001,Ia,r',53447.38418774674,53610.69713076014,283.50973592307383,286.1739256008217,10.606164242146495,99.9999999774867
K0509-001,Ia,u',53691.79908471661,53671.40391291595,5.729685286322268e-06,1129.504165529198,0.4949348429979666,0.47782517494093224
K0509-001,Ia,z',53636.380595620394,53606.368451415176,0.4901573018995705,-0.15516317819113773,10.60814073361713,30.222766992928857
SN2017cue,Ia,G,57846.10242468787,57816.759338586664,9.818958720629698,-4.433749625850043,10.000018638793934,30.00007098120658
SN2020abiu,Ia,G,59199.18640292524,59169.859920349525,11.02493641957215,-5.0559266614321725,9.999999575587916,29.999996905153186
SN2006km,Ia,g',54018.89461378419,53986.877847254604,3.602340435089176e-05,52.19971954398847,4.528539131846704,4.770259321984341
SN2006km,Ia,i',53816.15178045981,53990.16552991616,39829.73152544248,0.06218661225723397,13.75451699483627,99.99999994659215
SN2006km,Ia,r',54011.57353624769,53989.844024702244,0.021771795085291295,0.19255345360074144,7.988313363498503,8.81546141314065
SN2006km,Ia,u',54038.363123679585,54007.532422178636,0.047532335566583823,-0.187064249970561,10.020451083488192,29.994860812068286
SN2006km,Ia,z',54051.16133592503,53721.99208427288,5.208450810667084e-05,0.15309827053241595,99.79730037734718,97.05414740990234
SN2007mt,Ia,g',54260.427753742195,54355.83170862768,116922.39107694557,0.08494873902109981,7.707755879121122,99.99999998984761
SN2007mt,Ia,i',54423.439988787104,54351.1801971478,9.035968926505631e-07,54.0511868576913,4.737634214502663,7.045870281997951
SN2007mt,Ia,r',54336.35765375866,54355.04115783563,1.6148614826804848,0.08714854859020121,10.157978052816237,99.9926207986487
SN2007mt,Ia,u',54386.60406018797,53772.29291976038,5.689189983695925e-06,0.37286743850164394,3.968266817232095,0.1000034597871738
SN2007mt,Ia,z',54150.93541067765,54337.07058777454,3.5724520985890025,20.220735575942175,18.32460781391421,13.63596050614068
SN2006qj,Ia,g',54066.332874125736,53968.15978081204,-0.00022965148801668922,-0.0020971671768831085,9.928017312769432,29.97904194238545
SN2006qj,Ia,r',54049.486786795016,54051.56392581684,0.0011777546899865497,29.678208982258244,8.224539584541331,1.8847160836256682
SN2006qj,Ia,u',54035.02969344773,54003.41743155592,0.17617988113198915,-0.06409167735989196,10.059580484939882,29.996295388070028
SN2021aefx,Ia,G,59557.14078295727,62454.1214546728,53192.24856121076,-26565.355618581234,9.969232206444207,29.934935037823973
SN2017lc,Ia,G,57764.855535718096,57763.70015320816,201.2387421500721,-99.10382263120277,9.99461599242904,30.001116634040045
SN2016hvl,Ia,G,57700.32708962543,57670.76486602923,2.742554990076649,-0.8615038527610153,10.000108621980417,30.000006997696662
SN2017fbp,Ia,G,57994.811386769245,74298.53236875936,49779.15000153436,-24807.228074913586,9.992480985704756,29.995830501238675
SN2019bpc,Ia,G,58554.58498891902,58525.65393197857,12.00209480904889,-5.48603629853293,10.000121724582176,30.00001502089853
SN2020sff,Ia,G,59107.50543521404,59106.26688536263,1.4882379291500694,0.21601233652365218,3.4471937895572426,74.37904225953815
SN2021agxy,Ia,G,59581.65106965177,59551.62238301113,-0.3356532937125135,-0.011885521233025775,9.999980546996126,29.99999786658267
SN2007rm,Ia,g',54417.358471695516,54398.78016551201,0.3230299295363906,0.013210766054419296,5.542551466662071,3.7978993413799342
SN2007rm,Ia,i',54876.220095894096,54659.295766641975,-0.007614076329517487,-0.02893691117340555,11.949306391757313,29.49343606287559
SN2007rm,Ia,r',54412.569820280376,54397.993578831396,0.15684049080458398,0.03403680823362976,8.554783892929786,4.630229857522365
SN2007rm,Ia,u',54387.5074995262,53415.74476442102,4.557370691032174e-07,1.7059996362638277,18.295269106853524,0.6692602455228661
SN2007rm,Ia,z',54357.86288493536,54368.90750483883,0.14442396751571981,0.01636065293081818,22.897202959270253,0.3612205582597436
SN2021twg,Ia,G,59422.59888,59392.59887992657,9.041832843364149e-08,0.11778715563554094,9.999999999890209,30.000000000036476
SN2007ns,Ia,g',54188.98525154749,54347.95782394518,45607.167052942394,1.0589195321210534,10.683275267910542,99.99281350661985
SN2007ns,Ia,i',54361.21557976051,54354.53506985418,0.00042865771325935326,19.671427032667722,10.128922463074655,3.1469003603121473
SN2007ns,Ia,r',54376.10796197645,54355.880711256075,-0.020419338007278513,-24.278862569816866,9.908214905836767,37.987694852520136
SN2007ns,Ia,u',54330.52003461165,53948.500468748614,-0.022842312884510937,-0.04740010555039397,9.770579588865205,30.00915959365018
SN2007ns,Ia,z',54394.54987787795,54362.87198527234,0.1394698409850659,-0.05804532364609394,10.012673632359318,29.996948547791217
SN2016csd,Ia,G,57552.28019417869,55741.339419446915,0.09949025411137168,-2.086290194732966,9.859548802648131,27.762208510488236
SN2022aqk,Ia,G,59611.122108274365,59605.7675574838,2.391916092597652,19.00850990842564,1.3847981195825525,1.1248118204233075
SN2017isq,Ia,G,58095.96890826273,58067.24100745211,22.723129273462067,-10.849949899828657,10.000003003887441,30.00001684546932
SN2019onb,Ia,G,58720.02477167082,58691.33061487187,17.8838459953698,-8.498400458782069,10.000016942984786,30.00011930921723
SN2019lwe,Ia,G,58685.19701143331,61703.965582849225,52414.68753582304,-26177.88048745566,8.256692903728307,20.172959909043986
SN2017ghm,Ia,G,57976.933595411065,57959.64917775627,3.8140397101277728,-1.3733644553728601,10.006554915647003,29.999324690670242
AT2020vbv,Ia,G,59147.85587093202,59126.00364221569,26.92534484417871,-13.195444402857985,9.999999203767667,29.99999807669058
SN2017glu,Ia,G,57997.11322132379,72554.52370941848,50215.82373099985,-25020.302764553267,9.988545110922889,30.018166243724014
SN2019hmc,Ia,G,58653.12675725215,66298.97753912484,52004.931448303454,-25951.94563517755,9.969953076556981,30.031871433351288
SN2016yr,Ia,G,57477.62607461931,57376.949448921674,8.416315374326593e-08,227.06438400366486,2.4812781121186367,2.886861036730807
SN2018ihs,Ia,G,58216.070863609224,63388.13918010668,52113.63061052653,-25995.26193985264,5.1224866462039245,19.91046353233253
