supernova,type,band,t0,t1,A,B,Tfall,Trise
SN2020sai,Ib,G,59108.57840314724,59084.412912478,73.02156992577926,-36.012379869903306,10.000100925240657,30.00039739785105
SN2018hpq,Ic,G,58443.5051560421,58413.9895859842,1.9487052079000786,-0.5431928510838836,10.012062465951608,30.000033272452576
SN2007uy,Ib,i',54389.22929417177,54449.08760498195,-0.1748635923312593,-1.0543382613770333,9.038244410968836,36.49073421825429
SN2007uy,Ib,r',54308.640020233724,54463.646792872765,499.17497449440117,504.4448838264022,9.539256501623251,99.99999992350348
SN2009iz,Ib_c,i',55115.31064662778,55085.625953974726,-0.10869171201242542,-0.01134149352290792,9.925445338152088,29.993845266965938
SN2009iz,Ib_c,r',55113.47466676699,55083.54800853011,-55082.62652971605,-428.9139071123556,9.988956843032968,29.99881362368893
SN2009iz,Ib_c,u',55104.67697848604,55103.873641103084,1.312768321078873,0.11606518813255237,2.7503635766281076,1.3396300940751944
SN2019fxo,Ib_c,G,58646.46582031487,58619.19629708122,38.677163673745426,-18.89859474593017,9.999987089003614,29.99986166135208
SN2020clr,Ic,G,58884.19084856419,58881.08616032399,0.000734533059540597,25.619598012828202,11.479268401226573,99.99999999999997
SN2021rfs,Ib,G,59406.864267867015,59377.15113262967,-0.8379752485237788,-1.2113569054936137,10.000015158557297,29.99996738463052
SN2007D,Ic_Pec,i',54118.56048110142,54088.89001659808,-0.10443244888563594,-0.9181208834367864,10.002641790127285,29.973140761235832
SN2007D,Ic_Pec,r',54129.35761611944,54099.371710622545,-0.4795058354477151,-0.43067823717950626,10.003525191336609,29.94329440636103
SN2005fk,Ib_c,g',53645.083038105455,53650.727861861815,0.004710290611160888,2.547050745134616,10.361980601292565,4.818209941144167
SN2005fk,Ib_c,i',53627.21010553002,53597.15540638085,-0.7298493241072336,-0.621062008523181,10.000640476771851,29.99277741030283
SN2005fk,Ib_c,r',53625.92003671474,53667.090582988174,0.4315137240522524,0.0019215939744535722,32.17411150845691,3.693544988610689
SN2005fk,Ib_c,u',53588.19134447628,54857.69322744961,-0.01166278837968113,-0.00468751916766135,8.944020760393013,30.362736188972118
SN2005fk,Ib_c,z',53672.62365886446,53635.01344662682,0.06809392403682325,-0.014527550107433304,10.003441366726042,30.00291403589811
SN2019azq,Ic,G,58575.62024560112,58511.22105613646,1.0759027958834653e-05,24.1810111298176,13.608052102760839,99.99999999999996
SN2019qvt,Ib,G,58756.36289887669,58734.87544723084,71.25703178410454,-35.09262340039378,10.003604212910805,30.000400304133386
SN2019oys,Ib,G,58722.468611066586,58694.616124102824,30.362015073839633,-14.70809624131078,10.000002603008042,30.00001256815966
SN2021agqw,Ic,G,59573.53958970965,59550.80019234097,110.99670857810811,-55.00628769214504,10.001363685226705,30.012750029337088
SN2005hg,Ic,i',53686.25841342544,53656.2690224695,-0.3720829311220568,-0.02095777743049232,9.994434422478129,29.9991420587826
SN2005hg,Ic,r',53556.75044921066,53664.173750081005,21.846210414669752,35.602933581324656,10.227752845237328,99.99999999766824
SN2020dhm,Ic,G,58940.41505999999,58910.415059999985,-152.67386169224815,-306.6569558514367,10.000000000000368,29.99999999999993
SN2006ep,Ib_c,i',53807.49654143268,53969.36592334269,346.80399654470466,349.96995851174097,10.315473052358746,99.99999998310939
SN2006ep,Ib_c,r',53996.96334863039,53962.15183589434,-0.09770498505519996,-0.4529198818939546,10.055591151611445,29.27919770865961
SN2021ttw,Ib,G,59440.549878305035,59421.60432507588,152.27023904300452,-75.60795805786479,10.00090875940659,30.00957351773149
SN2016ecg,Ic,G,57533.25814046409,61651.23844037166,51321.7492453914,-25611.189081089426,9.923485455528592,29.824690474180972
SN2007qw,Ic,g',54071.51008323266,54567.71100454174,0.0068325043477631625,0.01748945672598113,99.80163606726296,74.4526092884423
SN2007qw,Ic,i',54411.58411738537,54417.31309140429,1.5778509647627301,0.007214358110750748,12.37068041305518,2.8300855465269894
SN2007qw,Ic,r',54136.00118479083,54512.22476335118,0.9727715587973733,0.006679015641719107,6.610253072343902,31.324350176029114
SN2007qw,Ic,u',54402.9857499287,54370.7423554813,0.030660659693397305,-0.005292630428585814,10.006576816447705,29.998065942901523
SN2007qw,Ic,z',54427.06353447418,54345.153415686014,0.0006797753051684953,-0.06926908192193502,9.844022345316896,29.988251777226196
SN2019wzj,Ic,G,58842.848344461876,58822.39580649325,143.00866235152472,-70.92422566593577,10.000016338589024,30.00007173947374
SN2021njk,Ib,G,59374.272086445984,59348.85038396347,87.52770659622452,-43.22791965773568,10.000003325035982,30.00000813587895
SN2007qx,Ib,g',54418.76556741635,54398.80824480893,0.359328219781147,0.011529126815711875,4.5831733011166165,3.2791705181978084
SN2007qx,Ib,i',54426.95906094017,54355.4259037497,0.0019177471729280126,-0.08971381893565236,10.151383309652457,29.984617011304213
SN2007qx,Ib,r',54429.31030575427,54402.438410402894,0.2555967762115306,-0.0010317837228225233,22.68597402975116,28.63642967015302
SN2007qx,Ib,u',54430.2028161581,54384.10234964352,0.06565292285722683,0.010219838070576233,0.600319795036403,0.5945460379438277
SN2007qx,Ib,z',54436.27010334918,54354.20618486571,5.6039175765786904e-05,-0.09293574511040148,10.22657940435036,29.982880983267783
SN2006ld,Ib,i',54044.254683238454,54015.92422983962,15.898574521894806,-7.564548386535981,10.000483675167583,30.002882240986512
SN2006ld,Ib,r',54044.25850961719,54016.092128587676,16.45416398968134,-7.853801183547103,10.000646427512804,30.00380002541508
SN2020hvp,Ib,G,59074.148612906945,59058.39868980302,93.03315159356255,-46.126302597270566,10.00008992278959,30.00073079029247
SN2021kos,Ib,G,58899.08825402174,67092.37986308907,52615.25689595272,-26226.397101811923,1.459108391905671,14.89902436913626
SN2017hfw,Ic,G,58087.01399000156,58057.01398999028,2.0652790656796114,-0.5624267690248185,10.000000000008106,29.99999999999772
SN2007kj,Ib_c,i',54378.60373596222,54409.815891968,1.0608095143160987,0.0007251575378987172,28.514849190654523,4.204097518125676
SN2007kj,Ib_c,r',54385.0150441419,54350.64676950186,0.1593986746160556,-0.08767239256859663,10.056942721182518,30.39656363519695
SN2017gax,Ib_c,G,58004.00760069971,57979.05191381964,97.4400529249625,-48.17565130373851,10.000211179648504,30.001230200981187
SN2007ru,Ic_Pec,i',54439.170546706075,54409.214004938214,-0.6341624947790327,-1.4728916543039383,10.000055671994781,29.99568329322403
SN2007ru,Ic_Pec,r',54315.719946599405,54415.01333976925,26.50080087122522,29.339630461761313,9.683215633431264,99.99999998109031
SN2009er,Ib,i',54977.24268859122,54966.95979636113,0.0009605271115254548,14.705813125996702,8.856272879547047,99.99999999999997
SN2009er,Ib,r',54926.827396364395,54968.030786882715,0.2876648988356692,38.117622831127846,7.612558819549625,99.99999999999795
SN2019tsf,Ib,G,58792.113298525204,58763.163107324624,12.81709984061135,-5.908100664965805,10.005212888117034,30.00073819114
SN2019yz,Ic,G,58519.7231059389,58492.33231078527,50.724354457920576,-24.841245020488376,10.000002584975526,30.000007389274792
SN2018alc,Ib,G,58229.99552167835,58210.61829115574,170.9605073869541,-84.86323664804999,10.000025693930622,30.00009061099434
SN2018cbz,Ic,G,58280.91926291496,58251.87682328609,16.258575205003638,-7.665679142761209,10.000000901758058,30.000005700204703
SN2006fo,Ic,g',53995.6703764405,40196.622377066145,2.463651243853025e-09,3.4877116886429294,21.078003292067002,3.2391964500017147
SN2006fo,Ic,i',54007.609189878116,53980.30686095329,-0.04801922355198344,-0.12757304457920848,9.856055719804793,29.079255486776386
SN2006fo,Ic,r',54010.7573866103,53967.695244566676,0.10809471838098074,-0.019559798144211257,4.014575702403318,28.944577076978533
SN2006fo,Ic,u',54016.997515488154,53966.18143272468,-0.13999128209264394,-1.420921556569521,10.176140522680114,30.15543719054719
SN2006fo,Ic,z',54011.196413541744,53977.76661163806,0.08250086653321925,-0.6162332485093666,10.577113839548796,30.519300116468973
Gaia15acs,Ib,G,57090.153686752536,57136.0042922307,825.6749111874077,-411.67996612908763,10.000166097097916,30.000711249089743
SN2016bke,Ib,G,57490.17426060176,57424.04730471242,266.9971751916264,-209.66340136404477,10.169040956874221,29.962023476490906
SN2019klq,Ib,G,58688.61525905825,62006.094525983965,52319.503072885,-26317.02032314933,8.330696230721449,30.438760446077595
SN2008D,Ib,i',54333.27897325667,54473.25459764636,26675.042324324455,0.0452240981925464,12.20827551483684,99.99999998687632
SN2008D,Ib,r',54345.292192106885,54474.44517892113,66029.19988222608,0.043369077200879715,10.713769966920069,99.99999999043625
SN2011bm,Ic,g',55662.531084408394,32406.418596340933,1.2014276198998738e-10,21.20348362209059,37.56049205780335,4.563136677908117
SN2011bm,Ic,i',55666.300512274625,55497.60092447538,0.02558260954626086,0.0019776924570654,38.590821784794024,8.312583473644569
SN2011bm,Ic,r',55670.908242418824,55755.38229075732,1.1052278507728936,6.716723452796479e-05,62.03537385021761,8.75340573362201
SN2011bm,Ic,u',55663.65778183675,55636.2171922812,-0.10540482675157603,-0.16905998398065455,10.01941127134761,29.639275982909705
SN2011bm,Ic,z',65.9712039725564,89.47008157760138,39356.174035425254,-39356.18410448179,0.10594834099745043,99.84483773651871
SN2006qk,Ic,g',54063.03179407178,54055.268630153005,1.6772178694026347e-05,1208.0232727782413,4.633080605260471,2.35520133492356
SN2006qk,Ic,i',54067.64700519153,54054.138572191056,9.381185136780295e-06,1919.090056955312,0.5354818985652344,0.4956982026007416
SN2006qk,Ic,r',54072.86984194961,53977.141073787854,6.6908982383471e-05,-0.0017665902883679016,9.743603866850279,29.992811446002033
SN2006qk,Ic,u',53914.07949072702,54074.958660940196,6.725236529961321,-0.003103856816108815,99.99999996362293,99.87739231476398
SN2006qk,Ic,z',54073.60048559172,53982.09212147331,0.0007479105640896323,-0.011564133153179596,9.828306169326948,30.005341628124118
SN2005mf,Ic,i',53734.447234622545,53704.71437078069,3.3447267847921056,-1.2205800688112316,10.000799892062933,30.004639471679305
SN2005mf,Ic,r',53735.41064485552,53763.23412936743,0.9675890669060077,0.0012934527790625073,20.58677682901495,5.34844024839935
SN2020uas,Ib_c,G,59150.86767815049,59122.78003034781,24.38048713300808,-11.74277080998062,10.00026994031758,30.00104159061167
SN2006jx,Ib,g',54014.0479272131,54003.36971760063,0.10547636372161956,0.07519554197625765,5.878918404736524,3.5336980619375655
SN2006jx,Ib,i',53975.377730226,53992.21462179896,-0.08444630799376321,-13.9089520578601,8.345339373057135,33.24211656395008
SN2006jx,Ib,r',54031.387351546255,54001.47338595194,-0.0969782893268677,-0.0297323921531036,10.000516134284782,30.002287789515762
SN2006jx,Ib,u',54065.68944733571,53989.984361124916,0.0005678349372845602,-0.16772354909395693,9.791635137170598,29.998728072928056
SN2006jx,Ib,z',53971.816097560986,53996.62601376851,-0.06509761625607863,-0.3085696184198691,5.282024125843925,30.20916001223367
SN2018avk,Ic,G,58275.4267820365,58107.76946000423,8.046592850324641e-05,0.864355809403365,34.095706245618054,36.42278099826602
SN2007ke,Ic,i',54341.876734928,54552.86171086175,3033.881695714372,-1512.750905082457,9.520617990199566,29.340445770687563
SN2007ke,Ic,r',54369.925436281155,54343.904146242894,48.17543689699122,-23.370342820662948,9.989476010438862,29.989271643437007
SN2005kf,Ic,i',53699.38256645738,53671.06430258355,12.707857596672126,-6.012694926528756,10.000471634661812,30.002579256628447
