supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
SN2019smj,IIn,0.06,G,44,1.0280162981264746e-07,58455.0204257864,85095.33282827376,6265.75495887933,-1.4410726642136925e-09,99.99999999999999,4.289922027148954
PTF11fzz,IIn,0.082,R,377,8.295450955036738e-08,55844.49,56402.93489992835,1.9096576868214514e-12,0.20465616766026692,9.99999999981219,30.000000000062396
PTF11fzz,IIn,0.082,g,95,7.147596047445662e-08,55742.92398543776,56301.74070135993,-2.9085958407157764e-07,0.5507310222977573,10.003789243808974,29.998744346549483
SN2020tlf,IIn,0.008,G,15,1.3931568029453007e-06,59189.36234483104,59171.57309865176,0.06361543735294929,0.03581417364091756,7.844360560638464,6.505693271909746
SN2017hcd,IIn,0.035,G,10,1.3304544179780874e-07,58095.96030284434,58112.692535779235,1.3806258271048881,0.000394103091137443,37.81439420175426,3.6666981113366792
SN2016eei,IIn,0.06,G,23,5.445026528424209e-08,57796.86380425537,60986.68369647868,3.857881285768621,-5.767008161361127e-08,99.99999999999999,77.87220554293962
SN2020uaq,IIn,0.115,G,17,5.546257129579105e-08,59066.99576298236,59591.64441736095,162.4209508126941,-4.259961154684071e-06,28.34708150749423,99.99999999999999
SN2018bga,IIn,0.0453,G,12,3.435579478998743e-08,58265.10725244438,77548.27264670911,25.70296663630743,-2.5220565374932393e-09,99.99999999999999,20.910141347333344
SN2011ap,IIn,0.0236,H,29,3.9228346253952095e-07,55591.13095519947,56205.612928657385,343.0108614921201,-2.910609919292282e-06,17.891966457817066,99.99999999999999
SN2011ap,IIn,0.0236,J,32,3.6812897364253054e-07,55592.22995713838,56244.42427049368,408.8855284850809,-2.5601012048246645e-06,16.585142150669704,99.99999999999991
SN2018aqn,IIn,0.02459,G,11,7.943282347242805e-08,58171.59348859456,58670.64520485044,0.027455875261957512,0.0018376544418030626,55.286255141193905,56.51688953007663
SN1999gb,IIn,0.018,C,17,1e-06,51470.98557661632,52144.66591315861,2.847932698507704,-7.941833239279869e-07,42.745831750413736,99.99443004539268
SN2010bt,IIn,0.0162,B,39,1.584893192461111e-07,55102.966383112245,56965.2896372661,7.685125314057459,0.14153118912807475,13.46480173071788,4.808603535052155
SN2010bt,IIn,0.0162,I,18,4.830588020397729e-07,55028.380921019554,58108.30923791325,6.673384244638121,0.11318870507785589,17.68271228184841,9.63776901457003
SN2010bt,IIn,0.0162,R,26,3.981071705534969e-07,55303.1,55856.131,0.9791070386914595,0.7343302790185946,10.0,30.0
SN2010bt,IIn,0.0162,U,20,1.770108958317422e-07,55168.60238426703,55860.10889274506,-1.0508228737494563,-1.0560462451227017,10.99856718038017,99.99539336904832
SN2010bt,IIn,0.0162,UVW1,20,5.248074602497723e-08,55391.12056329614,55470.12635417211,0.8886434454424676,1.1176810851352461e-05,99.99640051495216,99.99999999999999
SN2010bt,IIn,0.0162,UVW2,19,4.78630092322638e-08,55309.27602865181,55892.800737614125,45.1417596052386,-2.848299183832317e-06,11.907123328724406,99.9345162759181
SN2010bt,IIn,0.0162,UVW3,10,4.365158322401665e-08,55304.79681157138,55931.78798486827,0.6699568431430373,7.827430241647258e-07,49.79537493055877,2.2692355918193163
SN2010bt,IIn,0.0162,V,37,2.9376496519615305e-07,55101.67934661918,57425.69941563777,9.189629878442137,0.11477821006361516,13.173839335888989,5.228146013588544
SN1994Y,IIn,0.0085,B,18,1.9408858775927793e-06,49546.96369304187,50068.85114125797,88.72727972248974,-4.159777755833802e-06,28.082040426461155,99.99211843591742
SN1994Y,IIn,0.0085,I,38,2.398832919019485e-06,49612.37762982607,50779.322275371,1.2178529160217415,2.9840666635139163e-07,62.69004901837084,18.126834863468765
SN1994Y,IIn,0.0085,R,36,2.1877616239495517e-06,49652.46393348299,49679.90718934642,1.15116989055017,0.0004520540728708982,36.08249541489247,16.932582543472577
SN2010mc,IIn,0.035,R,110,1.0719338858351207e-07,55444.15699999912,55998.59855151134,1.9661774437740997e-11,0.07024279161966324,9.999999928357482,30.000000023802166
Gaia16ajy,IIn,0.06831,G,32,1.770108958317422e-07,57218.97320232896,57323.185385400524,1.8361785667270485,5.179205242336557e-05,69.64166556180534,3.043984274002583
PS15ip,IIn,,i,13,4.4742474577216e-08,57078.17567263983,57649.23545317183,-0.0007094000054349776,-0.008924160926625282,4.703691905961191,30.26875000681912
SN2017fck,IIn,0.09442,G,12,2.5822601906345956e-07,57934.99348045852,60483.11916249918,1.420974034948211,5.7109596421338696e-08,51.62401002347272,30.397627785559582
SN2017djg,IIn,0.068,G,77,3.311311214825908e-08,57868.01118,58446.691291764466,-4.320816072623146e-14,0.3672074268648778,9.999999999904977,30.00000000003157
SN2019qem,IIn,,G,29,2.654605561975536e-07,58928.21642457381,61983.598511536235,0.6918641111184063,3.329218568855175e-08,99.99999999999999,99.99999999999999
SN2019qem,IIn,,I,54,3.8868698613730223e-07,58773.35423999811,59361.0877820693,-1.9438996447132366e-08,0.6218476231424009,9.999999998587015,30.000000000470948
SN2011cc,IIn,0.0319,R,198,1.7173230536229668e-07,55757.321,56314.89420999037,4.4191445817357705e-08,0.6273855000299805,9.9999999999711,30.0000000000096
SN2011cc,IIn,0.0319,g,27,1.247843151975767e-07,55697.62932950556,55800.82973617538,2.0186547998890125,-1.2158341083706219e-05,99.99999999999999,34.554195062024576
SN2017jfs,IIn,0.008,w,16,1.3490871323864563e-07,57968.88423925535,59154.15189713706,8.54248749244753,-4.7211086327257665e-07,99.98008155111823,24.827474152418464
PTF10achk,IIn,0.0327,R,176,7.965260797837774e-08,55545.09999999999,56100.55099915084,4.437117609993506e-09,0.7748269328615978,9.999999997131107,30.000000000953108
PTF10achk,IIn,0.0327,g,62,1.6260279257947322e-07,55335.7172072261,56680.86289112816,13.88088432834472,-2.3780717620610922e-07,99.99298499020507,35.013093181724095
SN2017gvb,IIn,0.03034,G,32,9.549925860214349e-08,58014.00588298561,97290.73881790673,166.00588735377715,-6.439922531411574e-10,99.99999999999999,2.333675988882461
SN2021kat,IIn,0.1013,G,12,5.395106225151268e-08,59335.823876156035,59471.04753858807,1.300924141628645,3.391314656587403e-06,99.99999981947913,1.2582860844807153
SN2019vpk,IIn,0.1006,G,11,4.920395356814511e-08,58849.478847642866,58899.05224716905,0.7624027079089638,0.00025491828097947073,50.09557659954454,0.93579220452418
SN2021gpw,IIn,0.075,G,24,4.965923214503348e-08,59387.72803,59981.6053103,0.8355628276785061,0.6266721207588796,10.0,30.0
SN2018gkf,IIn,0.0819,w,20,1.8567780780337236e-08,58603.9034348892,58520.52344222538,3.041386338542345,0.0012716375401985872,95.77178087857634,33.32503270720538
SN2018bek,IIn,0.0218,i,12,2.2459495674489486e-07,58258.90446782112,59039.00069558794,1.7554587256648655,-5.070370143014894e-07,25.735985781799606,0.33865702379017965
SN1994ak,IIn,0.0088,V,10,4.3651583224016567e-07,49720.32838488612,49153.110953856354,49.791704925911894,-3.0707564601915645e-06,0.10103225031303653,0.10000000064853538
PTF10gvf,IIn,0.081,R,410,8.24365864252856e-08,55253.286999999866,55805.81986947465,1.1026693709319507e-09,0.6660409173266416,9.999999997775946,30.000000000739007
PTF10gvf,IIn,0.081,g,30,9.094943385552918e-09,55685.28957521426,56015.441512125384,5.024259045151291,-8.988409825133247e-06,99.98948209244335,58.77095387266192
SN2020nku,IIn,0.02,G,23,1.9230917289101576e-07,58670.4054578662,60386.139511542584,68.65876847043124,-2.835189515626022e-07,99.99999999999973,37.83910126718422
SN2020kro,IIn,0.128,G,18,3.250872973854347e-08,59012.99972778454,86880.15058227764,83.33482791082675,-1.2715853733810003e-09,99.99999999999999,0.869358844650054
OGLE18act,IIn,0.078,I,100,2.0511621788255667e-08,58176.07015364726,58320.20007200209,0.1927995144888801,0.000385210562281566,99.99999999999126,12.250189153595729
SN2019npx,IIn,0.057,G,15,1e-07,58920.223744015246,59965.62418324564,2.1580406444065945,-3.859957464871691e-07,99.99999999999999,99.99999999999999
SN2019fmb,IIn,0.016,i,16,9.978838638941831e-09,59289.041060960095,59515.62937711334,0.03835482541936043,-1.1571462949520537e-06,45.200934696484765,71.28592101714125
SN2016S,IIn,0.094,w,36,1.619720205829203e-08,57412.80481726805,58432.026820436404,2.8232017325999705,-3.227163340259631e-07,99.99999779630029,43.873845731878575
SNhunt151,IIn,,B,60,5.152286445817562e-08,56150.372815121715,56690.874442665016,92.33484398959473,0.00012801949259546653,77.4481463320709,99.97839756682947
SNhunt151,IIn,,I,17,1.9054607179632443e-07,56318.9338058928,56678.99094223795,87.93084216432106,6.843143179311599e-05,59.322309065187795,0.49601027127231134
SNhunt151,IIn,,R,37,1.7378008287493765e-07,56280.24284667966,56814.00130703061,2.52384358371715,0.0001371751953865845,99.9999443893596,99.99050204845626
SNhunt151,IIn,,V,75,1.0864256236170644e-07,56568.02080762335,57853.28142241909,0.9002752457243488,2.2153547171311356e-07,44.16803517667115,2.414177477519474
SNhunt151,IIn,,g,42,7.65596606911257e-08,56567.4815691347,56572.84851989225,1.5468949927912887,0.00016034239036401306,28.844744494174922,4.43827284217625
SNhunt151,IIn,,i,48,2.2080047330188968e-07,56567.08320123422,56611.412129089375,1.3162765096212472,5.576166161453209e-05,42.47445382849478,4.563209287516709
SNhunt151,IIn,,r,47,1.8030177408595698e-07,56563.31397671332,56746.6042106779,0.5323985364751935,4.548632388366622e-05,77.77743807663946,4.461104179815815
SNhunt151,IIn,,u,12,1.599558028614671e-08,56587.64678587534,56609.66316755905,1.4143938463500856,0.0003586867591745016,25.886724910863215,3.7889074707073167
SNhunt151,IIn,,z,13,1.9230917289101576e-07,56577.85667247994,57227.43374550676,1.276629263562902,9.38240196639722e-07,36.243030759413,8.802696061812162
SN2015bf,IIn,0.01423,UVW2,10,8.233794052101336e-07,57368.53472697278,57934.276816998194,0.0002490400901977527,0.024916071381057003,4.528452162265423,1.6343828308880086
SN2016iaf,IIn,0.063,i,20,1.2620599932219297e-07,57790.59422729364,58272.36260777266,12.286358956775176,-3.728305052608263e-06,18.51369777536844,99.27114403561444
Gaia19asm,IIn,,G,190,6.081350012787176e-07,58723.44818,59310.68266157422,2.339171192759261e-06,1.02578939058992,9.9999999995436,30.00000000015163
SN2013cj,IIn,0.03216,UVM2,18,4.677351412871981e-07,56216.92537606507,59040.29490922984,6.220435265182175,0.05142673150580476,14.389351763654737,10.144756373986327
SN2013cj,IIn,0.03216,UVW1,18,5.204751511705226e-07,56148.072625166074,60409.86942010606,10.403423706241187,0.025280085225241014,18.198659935564017,6.807241953223853
SN2013cj,IIn,0.03216,UVW2,19,4.2933866347042995e-07,56236.326665668574,58910.26933658405,4.70458759056156,0.04481342271541613,13.547902255639295,6.663769027727097
SN2018hse,IIn,0.13,G,37,2.4434305526939663e-08,58145.91564463817,59141.255819594786,37.39635723195096,-7.562009362722404e-07,99.99999999999999,2.3545190954472375
SN2018hse,IIn,0.13,w,12,2.3689723948084044e-08,58488.93289669676,59107.77203185037,1.5951019498019487,2.932560435792432e-07,55.48144066547246,80.55885793696295
