supernova,type,redshift,band,n_obs,flux_scale,t0,t1,A,B,Tfall,Trise
PSc520054,Ia,0.42098,g,76,5.19761371815463e-09,55296.59999999978,55849.56599969434,1.9697496128590845e-08,0.5930255630815542,9.999999998695149,30.00000000043371
PSc520054,Ia,0.42098,i,93,2.3794687198491416e-09,55414.29999999995,55968.44298628748,1.1143451951199422e-12,0.031289642045631824,9.99999995276709,30.00000001569188
PSc520054,Ia,0.42098,r,76,9.82163973849705e-09,55296.59999999994,55849.565999634084,4.1458384673488777e-10,0.634653805775994,9.999999998486505,30.000000000502872
PSc520054,Ia,0.42098,z,99,1.897544633335019e-08,55013.7876588518,55573.76905252415,0.8229352217362688,1.2176142733662875e-06,18.45920036914312,0.1568004474640926
PSc130601,Ia,0.55744,g,80,5.002740777252003e-09,55614.4,56170.54399994969,5.773675484294815e-13,0.6619813843431762,9.999999999852594,30.000000000048974
PSc130601,Ia,0.55744,i,105,1.590640368069854e-08,55974.4,56534.1439998319,1.6938607185648202e-12,0.8381960336134899,9.9999999995285,30.000000000156643
PSc130601,Ia,0.55744,r,79,8.249735033039292e-09,56398.3,56962.28299959864,1.0685376322975247e-07,0.5305164047697846,9.999999999073767,30.000000000307715
PSc130601,Ia,0.55744,z,128,3.6512368006957914e-09,56639.5,57205.89500069603,1.0483552998012116e-10,-0.07317262112852813,10.000000001499497,29.99999999950183
SN2019qym,Ia,0.019,G,19,2.0701413487910372e-07,58758.36748300868,61938.37451617959,1.509417767510248,3.291246602322752e-08,27.419716021962795,2.645216393628642
SN2004S,Ia,0.00901,B,39,1.5761589049638359e-06,53038.879859561115,54184.81976974726,1.0858760913844103,2.635063557148796e-07,11.804517263149254,1.4602205199163798
SN2004S,Ia,0.00901,H,17,9.62941712971554e-07,53099.71128555217,53097.821236229,0.35278333123496003,0.01273648564444406,6.675451355761128,5.037725223344712
SN2004S,Ia,0.00901,I,44,1.3715132259364853e-06,53023.63586689345,53558.39377199882,0.03237476581240093,0.00024040474451404007,40.33063336783534,20.950056143211455
SN2004S,Ia,0.00901,J,16,1.0519618738232213e-06,52718.164056091846,53675.69394958091,11.114832295204275,0.2450807381457991,22.961193732427805,28.690175848937518
SN2004S,Ia,0.00901,K,12,1.1230523475410829e-06,53042.018360976435,53044.29673730908,1.2312964623173026,0.01568734040590096,9.972349864618872,0.1621149451495163
SN2004S,Ia,0.00901,R,44,1.8689599716514888e-06,52733.1149476255,53675.00216626531,9.957582299439126,0.023363482454246867,27.060648791596392,44.848519503395764
SN2002ef,Ia,0.02398,B,25,1.9660746338791027e-07,52494.832038095585,52990.773559195535,38.81644418957537,-3.87784980666605e-06,7.66616764792878,99.98244569270301
SN2002ef,Ia,0.02398,I,27,3.070435650730062e-07,52099.77645367131,53076.90636018325,10.865084738036435,0.0008978650011124261,47.23037139690187,41.929657996389196
SN2002ef,Ia,0.02398,R,29,3.357376142429545e-07,52496.986064931465,53030.52776629114,23.0647759831518,-3.253497689879342e-06,12.782388001058589,99.99808182952438
SN2021mhv,Ia,0.04687,G,19,9.375620069258792e-08,59350.50803450268,61656.19698682834,45.11933561921783,-1.8377619243117373e-07,22.615885842317493,0.10003145452315286
PSc080048,Ia,0.32143,g,88,1.943103795098678e-09,55524.5,56079.7449998771,6.690995230746941e-10,0.6995455195544661,9.999999999532442,30.000000000155335
PSc080048,Ia,0.32143,i,101,2.661950651151828e-09,56272.4,56835.1239992392,-2.2714749422585417e-12,0.26975409816515344,9.9999999982335,30.000000000586873
PSc080048,Ia,0.32143,r,88,2.7999353262935636e-09,56213.4,56775.53399927776,5.612982598878673e-08,0.609761374668344,9.999999998301602,30.000000000564246
PSc080048,Ia,0.32143,z,125,1.3338408072453628e-08,55899.3,56458.29300018011,-7.853540640414321e-08,0.9317938496672604,10.000000000485727,29.999999999838632
PSc530548,Ia,0.37663,g,86,1.5943952799193547e-09,55458.3,56012.88299999914,2.194326949044425e-10,0.5742771803519061,9.999999999986056,30.00000000000464
PSc530548,Ia,0.37663,i,85,2.4923440883045296e-08,56550.5,57116.0050001903,-3.202819729232248e-12,0.4004867836146041,10.000000000413634,29.99999999986258
PSc530548,Ia,0.37663,r,86,2.449965676311098e-09,55833.4,56391.73399995,2.618446813811449e-10,0.6212774114126622,9.999999999875863,30.00000000004124
PSc530548,Ia,0.37663,z,102,1.4044167483621004e-08,56214.3,56776.442999859355,-7.695273030549992e-12,-0.12158558436679975,9.999999999667365,30.000000000110507
SN2006ng,Ia,0.385,g',21,1.204481128573176e-09,54024.65725266902,54035.75541701723,1.00820451625898,-0.0008818160785199877,99.99999999996666,1.1221242732452192
SN2006ng,Ia,0.385,i',20,2.0248833065305516e-09,53852.48351803254,54599.527577603534,-1.519412532871224e-05,-0.577074854387423,97.93735592174251,97.39532148269548
SN2006ng,Ia,0.385,r',20,2.314195261511252e-09,53795.9704433515,54579.70651613349,-0.029101553313806594,-0.0003021972502529968,6.272281649804783,30.250030662264983
SN2006ng,Ia,0.385,u',20,4.3732066516964555e-10,54094.96006758283,56435.2444559094,1.693762173184215,-1.1235091993414802e-07,99.99999999999999,69.84779073892132
SN2006ng,Ia,0.385,z',19,4.533149061464116e-09,54138.79343968272,54056.51479336888,10.350516230065097,0.0013904683132063079,10.91052624430883,7.73139468216032
PSc120458,Ia,,g,75,1.948049553290765e-09,56395.3,56959.2529994989,-2.1987265362959367e-15,0.13393336375453258,9.999999998870683,30.000000000375184
PSc120458,Ia,,i,86,2.725963271285862e-09,55615.49999999999,56171.65499958198,4.734952670020724e-10,0.6544037960273078,9.99999999843708,30.00000000051924
PSc120458,Ia,,r,75,4.478989042725289e-09,55614.4,56170.543999909154,-1.7312906716701517e-12,0.5889234607294557,9.999999999699186,30.00000000009994
PSc120458,Ia,,z,89,4.043896205078195e-09,56381.4,56945.213999913256,-8.361187953315804e-09,0.2972959853132003,9.999999999802597,30.000000000065583
PSc160225,Ia,0.23352,g,83,3.4069048146130957e-09,55296.599999999904,55849.56599979626,1.4091155286393483e-08,0.6513922674848673,9.999999999093452,30.000000000301277
