sn_name,sn_type,band,A,phi,sigma,k
SDSS-II SN 21698,II,g',1.4540250442962026,54391.93196651388,24.657716626086643,0.20831941302191118
SDSS-II SN 21698,II,i',1.1755139486364863,54385.280563270884,31.13377547395789,0.10023440752654462
SDSS-II SN 21698,II,r',0.42360008996375925,54380.28023000011,22.112383447494114,1.4399653610295458
SDSS-II SN 21698,II,u',9.571088496443747e-16,54397.25547680421,1.25111554006037,13.125761902393801
SDSS-II SN 21698,II,z',0.5056659280658936,54402.25717388248,148.20305880966902,0.1000000000000003
SDSS-II SN 19497,II,g',0.9964145960540588,54431.27887072527,9.336933925918837,2.0645372710397516
SDSS-II SN 19497,II,i',1.0450960212983464,54376.3413100023,199.9999992387943,0.14171472670540802
SDSS-II SN 19497,II,r',1.0091543899714976,54376.34048000259,199.99999999999784,0.1127495959403575
SDSS-II SN 19497,II,u',0.966829184654701,54431.484167814335,14.99807826902004,2.5970746762075074
SDSS-II SN 19497,II,z',1.3973535982301106,54431.25296,8.650871666667323,2.0
SDSS-II SN 20649,II,g',0.8038578026410886,54381.27768000001,166.12825684208894,0.10000000000000002
SDSS-II SN 20649,II,i',0.9751273019480831,54386.139404762805,52.4365618605464,0.10000000000012484
SDSS-II SN 20649,II,r',1.1856525824083333,54403.18979300519,29.334057444213993,0.10000001689661332
SDSS-II SN 20649,II,u',1.0313532562855203,54381.276020000005,33.06577772362871,0.10000001603026369
SDSS-II SN 20649,II,z',0.8575802833341679,54404.19933868642,114.13957275362489,0.10353004448151555
SDSS-II SN 21798,II,g',0.8083572982197982,54421.27196629218,3.0868459843936793,1.599579107328304
SDSS-II SN 21798,II,i',1.0,54433.19694,3.3336433333339905,2.0
SDSS-II SN 21798,II,r',0.8741819562021464,54420.6115932724,2.9495673810662484,1.770191185484287
SDSS-II SN 21798,II,u',1.0,54433.19777,3.333643333332778,2.0
SDSS-II SN 21798,II,z',0.8541553480778306,54420.588549494954,2.916674359904106,1.7453192197953773
SDSS-II SN 16742,II,g',1.2794585603843944,54048.231737767695,84.87356811482661,0.1662127470430924
SDSS-II SN 16742,II,i',0.982811519494087,54060.3855905322,7.857085005419939,1.9694866526599755
SDSS-II SN 16742,II,r',1.324955613757142,54048.22832769618,9.721377246496662,0.3597442850278093
SDSS-II SN 16742,II,u',0.9632722698700186,54048.230220253026,16.58818647551951,0.10035482721420294
SDSS-II SN 16742,II,z',0.011377851153421114,54031.238940000156,5.639646419559939,3.1404929081907973
SN2018hov,II,G,1.2689499511552609,58400.72406000001,121.90410328078546,0.10000000000000002
SDSS-II SN 19597,II,g',0.9207083917431347,54388.46930016054,28.120793270588056,0.11011797695966459
SDSS-II SN 19597,II,i',1.115235471850786,54386.388972316134,31.771105436284582,0.10000000000001366
SDSS-II SN 19597,II,r',1.2137464376174438,54393.490461077454,16.944592530790295,0.10002211492721655
SDSS-II SN 19597,II,u',1.5264456445316557,54388.44889250864,8.386793941870538,0.10000000000000046
SDSS-II SN 19597,II,z',0.6459044363247977,54376.491980000006,68.39348787323304,0.10000000000089787
SDSS-II SN 4626,II,g',0.7872991849811177,53655.11585798766,58.82512720204985,0.10000000000000045
SDSS-II SN 4626,II,i',1.1589369820922029,53655.3165619758,31.492576096758725,0.10000000000125654
SDSS-II SN 4626,II,r',1.1635926013702673,53639.29841026508,78.47606024158335,0.10000000000000002
SDSS-II SN 4626,II,u',0.8071797693735456,53664.34475607651,182.18331388986803,0.2826083748881983
SDSS-II SN 4626,II,z',0.7949700695613068,53640.34765730857,118.10709357579894,0.10000000000161734
SDSS-II SN 4177,II,g',0.9412211474119618,53663.427200000006,87.62545675081388,0.10000000000000013
SDSS-II SN 4177,II,i',0.8118420315780859,53663.42472000001,120.71186473746091,0.10000000000883838
SDSS-II SN 4177,II,r',1.066900748804027,53668.39697257537,55.39087146245199,0.12208593844656487
SDSS-II SN 4177,II,u',0.35723489939645003,53696.51445859467,3.966204426174863,0.83537385984251
SDSS-II SN 4177,II,z',1.6098034709068088,53684.330610583245,5.654287090636575,0.1151560123806248
SDSS-II SN 17793,II,g',1.1695383566357562,54349.01979258266,38.785607276564605,0.4865846512690779
SDSS-II SN 17793,II,i',1.1921982023249775,54381.263677802686,86.60787852263095,0.10000000000073295
SDSS-II SN 17793,II,r',1.0741556785572892,54341.25112000001,147.56590645396687,0.10000000000000002
SDSS-II SN 17793,II,u',0.9893586233525153,54355.46144994181,27.46367256795057,0.7158777224740704
SDSS-II SN 17793,II,z',0.9232064073651537,54346.252619599065,91.90274598346674,0.1210149790761684
SDSS-II SN 20749,II,g',1.152152472463438,54402.37070185239,34.462770736340424,0.18389389585814972
SDSS-II SN 20749,II,i',1.0,54433.28405,6.651053333333645,2.0
SDSS-II SN 20749,II,r',0.8001165629576196,54388.37690000001,109.72667976806063,0.10000000000000002
SDSS-II SN 20749,II,u',1.0,54433.28488,6.651053333333645,2.0
SDSS-II SN 20749,II,z',0.2911531920255015,54388.37938000005,44.825801115283454,1.365862838616189
SDSS-II SN 983,II,g',0.7240636120015459,53611.273100000006,31.315617868390447,0.10000000000000002
SDSS-II SN 983,II,i',1.2159413392851701,53611.27061000001,47.42752706829872,0.35432463304804723
SDSS-II SN 983,II,r',1.2077319809174303,53611.26978000001,46.60727732475372,0.13272944000832892
SDSS-II SN 983,II,u',0.07693572174820638,53674.43068215768,73.71922512852129,0.10000000065348413
SDSS-II SN 983,II,z',0.8959248782040642,53611.27227000001,51.789318920850555,0.10000000000009471
SDSS-II SN 11492,II,g',1.2563506536274154,53687.28382275665,40.722916435273206,0.10641040133824353
SDSS-II SN 11492,II,i',0.9612182077907915,53700.72244273345,11.910895729340501,1.9263145947829547
SDSS-II SN 11492,II,r',1.5209438913646884,53687.27727114842,18.274218444628875,0.3253311235931829
SDSS-II SN 11492,II,u',2.141564704012751,53687.28303376098,8.985458589028939,0.10051257952012058
SDSS-II SN 11492,II,z',0.9043902806904296,53701.29159777897,23.030861850298717,2.840843192289107
SDSS-II SN 2527,II,g',1.26957991814502,53662.29242102465,36.32126001592781,0.1403582790765593
SDSS-II SN 2527,II,i',1.3696011850772258,53655.206876603595,33.330283108170384,0.10779977616475961
SDSS-II SN 2527,II,r',1.144471813933559,53667.133802448174,39.44959098746656,0.24998508297893215
SDSS-II SN 2527,II,u',1.2109966310067644,53650.31096000021,40.09656629825149,0.10000000000066463
SDSS-II SN 2527,II,z',0.9261536255089968,53650.31179000001,199.9999999917206,0.7339960910212763
SDSS-II SN 16957,II,g',0.4784255031606954,54015.18851000001,17.60771973607671,1.2808902755567277
SDSS-II SN 16957,II,i',0.8603684213510461,54027.059717130345,33.10119019382005,0.2651854576396708
SDSS-II SN 16957,II,r',0.8754046382356376,54015.185190000004,75.99715132826077,0.10000000000023544
SDSS-II SN 16957,II,u',0.8523126863101174,54020.182742004974,54.50770060464683,0.10000000000001351
SDSS-II SN 16957,II,z',0.6078657279450017,54015.18768000001,156.13012656413784,0.10000000000000002
SDSS-II SN 17986,II,g',1.176148718069881,54352.34126000003,29.552514308894704,0.10000000002559543
SDSS-II SN 17986,II,i',0.9036440657157798,54357.19266031552,84.45136583993279,0.10000000000000069
SDSS-II SN 17986,II,r',1.1591164564911278,54352.337940000005,36.15407033142034,0.10000000000021257
SDSS-II SN 17986,II,u',0.676004825668493,54384.06942038935,11.108795574763146,0.8055669453460177
SDSS-II SN 17986,II,z',0.5390892692779746,54352.340430000004,199.9999999997512,0.10000000000000002
SDSS-II SN 15966,II,g',0.9542123424015223,54047.340700331166,21.780545819411813,0.23493937429330838
SDSS-II SN 15966,II,i',0.935328080209409,54025.31242000001,53.13219838051083,0.10000000000001993
SDSS-II SN 15966,II,r',1.2878439978928902,54030.310786502596,27.614150234748138,0.12930781449500894
SDSS-II SN 15966,II,u',0.7154583735134772,54030.313338545275,22.00635045262163,0.10242009594846488
SDSS-II SN 15966,II,z',0.829837646743032,54025.314080000004,71.25101331523722,0.10000000000000002
SDSS-II SN 21452,II,g',1.2729375939274457,54392.96504476125,14.517412777406966,0.4155198425160377
SDSS-II SN 21452,II,i',0.030060369471475293,54371.40795000001,9.780614506663268,2.9395142737641287
SDSS-II SN 21452,II,r',0.6549076014635141,54393.49718111671,16.137472647221003,0.688507307356361
SDSS-II SN 21452,II,u',1.0606278308640156,54382.00327868385,40.41622458172541,0.10000000000004966
SDSS-II SN 21452,II,z',0.9444339868043216,54385.40339498993,25.060597136474144,0.10000000005989745
SN2017kam,II_Pec,G,1.2699139707105158,58279.42006790898,15.637926930224014,0.10000000879062884
SDSS-II SN 13472,II,g',0.6517555809653313,53973.46476487526,23.560324603528116,1.133607440943257
SDSS-II SN 13472,II,i',0.167772466541609,53970.31387000002,21.21261656856929,2.143256538174658
SDSS-II SN 13472,II,r',0.8985287606726591,53975.1560134344,54.013073845384284,0.6368293774293041
SDSS-II SN 13472,II,u',1.479259211972928,54012.18300257863,10.802118120144788,0.10000000000257396
SDSS-II SN 13472,II,z',0.5187194460721866,53990.32897680644,199.99999365803336,0.1000000001985417
SN2019vsr,II,G,1.254389208672367,58831.59983000001,30.10201029917331,0.10000000000000182
SDSS-II SN 20583,II,g',1.4190414060873475,54391.951726529245,13.065297062838365,0.41999992688316534
SDSS-II SN 20583,II,i',1.0206602560759124,54377.65681145369,199.99999999999997,0.23361911265934632
SDSS-II SN 20583,II,r',0.7700630413153962,54392.2873077665,83.5140432839653,0.10000016812587652
SDSS-II SN 20583,II,u',0.41892998238510143,54371.30561000001,14.564829817173438,1.353827370798574
SDSS-II SN 20583,II,z',0.6526751198034391,54379.28742231492,41.44828882706182,0.11101540795330875
SN2019dxd,II,G,1.7110263552346812,58590.47310002861,53.82185262805805,0.5936728091972994
SDSS-II SN 14515,II,g',0.8963648157012444,54046.79675265482,35.238464527523796,1.4019692802115666
SDSS-II SN 14515,II,i',0.9273323200843595,54054.257175132705,21.0214867375669,1.8619314081389016
SDSS-II SN 14515,II,r',1.0684137800383813,54024.34163742251,65.94640572534817,0.11740709131736744
SDSS-II SN 14515,II,u',0.7252856334971567,54024.34377084755,199.999999918629,0.24233815660281785
SDSS-II SN 14515,II,z',1.4055015281983012,54030.18752669942,18.531192302467574,0.10000000000000063
SDSS-II SN 14415,II,g',0.9778768713141823,53989.25640319676,26.558550479156324,0.10000000000000002
SDSS-II SN 14415,II,i',0.9049943750718062,54007.34608504621,50.73921584167914,0.10000000000000009
SDSS-II SN 14415,II,r',0.9712575639742927,53984.320210000005,121.91448216168261,0.10000000000000002
SDSS-II SN 14415,II,u',0.2741342787537356,53984.321860000004,174.19669126599905,0.10000000000000002
SDSS-II SN 14415,II,z',0.7465570609492017,53984.32269000001,197.4817482195681,0.10000000000000456
SDSS-II SN 18999,II,g',0.9685207776561423,54341.41986000001,78.32085207030282,0.10000000000000199
SDSS-II SN 18999,II,i',0.7617924545647202,54355.053817698965,199.99999991119913,0.2380471553833393
SDSS-II SN 18999,II,r',1.0557730936973029,54345.97782448302,71.06750957012399,0.2635848946991089
SDSS-II SN 18999,II,u',0.5518696071143052,54381.42858975336,57.111542171742975,0.10000000000000002
SDSS-II SN 18999,II,z',0.414813382996704,54341.419030000005,199.9999999999999,0.14854507231135822
SDSS-II SN 8024,II,g',1.2499964913300752,53660.16958094164,20.511275591836934,0.27637767091542587
SDSS-II SN 8024,II,i',1.1628172755680295e-15,53673.77841944676,2.1889875707260713,13.175374076341463
SDSS-II SN 8024,II,r',1.0019204526194716,53654.32136993908,41.622168233477744,0.10000006253127995
SDSS-II SN 8024,II,u',1.338340333044596,53663.27979782583,9.707868722706843,0.10000000000000002
SDSS-II SN 8024,II,z',0.6232932453511221,53649.323410000005,190.71281945408234,0.10000000000000002
SDSS-II SN 15395,II,g',0.8700902546122998,54015.19275000001,169.9082298631784,0.10000000000000002
SDSS-II SN 15395,II,i',1.0,54068.15649,7.994371666666363,2.0
SDSS-II SN 15395,II,r',0.6867717728818334,54022.18849221633,199.99999994287293,0.12433389700355031
SDSS-II SN 15395,II,u',0.44734279335602817,54033.587881684754,5.988602983427988,1.5351208566289174
SDSS-II SN 15395,II,z',0.9422622450732617,54062.80360192102,19.080345579922895,2.1833573397574706
SN2018rz,II_P,G,1.2372941031953086,58141.309905753034,50.972023414619464,0.10000000261342946
