sn_name,sn_type,band,A,phi,sigma,k
SN2021adxl,IIn,G,1.2265970825050432,59522.01950000001,109.70136563577078,0.10000000000004003
SN2019vas,IIn,G,1.2232812286860169,58849.43149000001,78.64965343485892,0.10000000000000002
SN2018cvk,IIn,G,1.2935328596979985,58424.56279000001,181.95135425040047,0.10000000000000002
SN2018hzn,IIn,G,1.0,58427.79126,3.3339266666662297,2.0
SN2021jvn,IIn,G,1.2198926517829096,59315.353800000004,63.23513378449951,0.10000000000000002
Gaia19eyt,IIn,G,1.3026948139760517,58787.57957000001,198.3680344268941,0.10694298276211468
Gaia19asm,IIn,G,1.1486257230728776,58552.802850167274,199.99999943309575,0.5375851467390556
SN2020cke,IIn,G,1.1864145584406356,58913.685730000005,26.220531762129955,0.10000000000000002
SN2017eni,IIn,G,1.271236175741873,57928.695078219185,67.86411013608603,0.1000000000000001
SN2005mj,IIn,g',0.6191655743901839,53682.29713686465,6.541393050122908,1.736259481054844
SN2005mj,IIn,i',0.9668747776063114,53700.45210170184,11.619363355077423,1.9370620804327008
SN2005mj,IIn,r',0.9730089611329561,53700.390013310534,10.424212586279264,1.948717026154698
SN2005mj,IIn,u',0.8999389738971592,53679.15084467431,45.63951604535978,0.10000000000004738
SN2005mj,IIn,z',1.0110682871975072,53679.177412659745,25.911067127294817,0.10037270546209741
SN2021ezt,IIn,G,1.7313406731470127,59296.96262225004,33.58608360306272,0.45088210406658324
ASASSN-15uo,IIn_Pec,G,0.45812575676884815,57418.38579000001,58.80583974853936,0.10000000000000024
SN2007cm,IIn,i',1.2420813044188121,54272.29810000001,44.69815520721197,0.10000000000000002
SN2007cm,IIn,r',1.2139340624408057,54272.30042000001,50.70273572664175,0.10000000000000002
SN2007pk,IIn_Pec,i',1.2239808842370767,54418.956846493325,61.59489319347062,0.10000000000001157
SN2007pk,IIn_Pec,r',1.3110541996106224,54415.081104507386,48.116113499277816,0.20912426537840534
SN2019kud,IIn,G,1.2274556121025397,58691.32620000001,117.00991986768678,0.10000000000000002
SN2020xkx,IIn,G,1.4958728854293952,59150.12244053792,199.99999997761466,0.3581886558072766
SN2018lmy,IIn,G,1.252267069588304,58535.35128000001,170.40142666816038,0.10000000000000002
SN2020nku,IIn,G,1.1979042363559804,59018.36428000001,85.93310199474253,0.10000000000000002
SN2020kro,IIn,G,1.1935159320361501,59026.28123000001,114.98634845358463,0.10000000000000002
SN2017gas,IIn,G,1.1645324515791666,57976.306229212874,169.64021199464813,0.10000000000000002
SN2020iq,IIn,G,1.205712492640061,58861.67090000023,199.99999999392762,0.1000004545518785
SN2008B,IIn,i',1.2986094494314886,54470.45761693776,24.68482822084122,0.10000000000020953
SN2008B,IIn,r',1.3042224014395936,54470.47041486968,23.5758311233786,0.10000000000017185
SN2017hcd,IIn,G,1.2136353028647682,58095.284250000004,66.29706879565451,0.10000000000000002
SN2016eei,IIn,G,1.311409812095745,57551.93318000001,199.99999999999997,0.415899301925422
SN2018awp,IIn,G,1.18510861958455,58222.165610000004,119.70328865563874,0.10000000000000002
SN2018dyv,IIn,G,1.2618391562293603,58340.557104146195,51.80497823497133,0.10299579290904522
SN2006gy,IIn,i',1.4008222125205283,54036.27779000001,45.58790527006891,0.1984257013234624
SN2006gy,IIn,r',1.3381059171294702,54036.280100000055,42.412507878451464,0.16201302904863235
SN2021abqf,IIn,G,1.4585360159239626,59505.87362005985,23.806675519800873,0.3163045039410262
SN2017jt,IIn,G,1.284980251271437,57764.34737876063,72.28826699724185,0.10000000000000055
SN2017cin,IIn,G,1.2286335633720573,57852.72509000148,38.935702834002576,0.10000000048867298
SN2021iui,IIn,G,1.38810999317534,59334.604170000006,85.92267410404573,0.18420225133242407
SN2020dfh,IIn,G,1.5333687275746566,58903.70427332314,31.273115605569988,0.1000000219343567
SN2019lkr,IIn,G,1.4471372375185443,58683.58905000001,17.840059042773678,0.41532044551384195
SN2020aafb,IIn,G,1.2184109251979118,59198.81904000001,163.01489858566958,0.10000000000000002
SN2020ybn,IIn,G,1.2236183362752346,59178.56315414104,23.02800760971953,0.10000007988692859
SN2018ihm,IIn,G,1.4996042666521359,58443.967147503514,33.41298135585133,0.10000077919296171
SN2020sj,IIn,G,1.0905840872057617,58960.79733000001,143.3774664349216,0.10000000000000002
SN2007rt,IIn,i',1.2471764374213326,54565.14510000001,69.53457612115398,0.10000000000000002
SN2007rt,IIn,r',1.2453819508747384,54565.14744000001,98.28706134341266,0.10000000000000002
SN2022cxa,IIn,G,1.2509162393063524,59643.82360000357,33.1644916158697,0.10000000000097059
SN2021gpw,IIn,G,1.092748723752525,59382.728030000006,121.1670865429373,0.10000000000000002
SN2021qug,IIn,G,1.2260845782863674,59508.39091000001,74.371910158792,0.10000000000000103
SN2017fck,IIn,G,1.394043891500726,57931.54542000001,51.33478507951395,0.20136325437416944
SN2008am,IIn,g',0.9487971316457708,54491.54000000001,199.99999999999886,0.10000000000000002
SN2008am,IIn,i',1.0877112825503035,54491.54000000001,188.76827913722215,0.10000000000000002
SN2008am,IIn,r',0.9476940772226834,54491.54000000001,175.67940851199515,0.10000000000000002
SN2008am,IIn,z',1.0,54787.17,48.4383333333329,2.0
SN2018hpb,IIn,G,1.3097982277244535,58434.633878599256,36.16360428260778,0.10008242508336014
SN2019npx,IIn,G,1.063179161837674,58768.70163000001,199.9999999997423,0.10000000000000009
SN2019jys,IIn,G,1.2721576034745554,58647.17575000027,126.72289063059308,0.10000000069674822
SN2021kat,IIn,G,1.2152024608958611,59360.37625000001,76.27848589753602,0.10000000000000002
SN2021kwj,IIn,G,1.5662249356597837,59362.12311459759,35.402059865407395,0.11191824233750709
AT2021qim,IIn,G,1.3267031375669438,59428.50341657339,34.42569679274999,0.16768545741523966
SN2009kn,IIn,i',1.2213276656092413,55145.49153000001,57.20978257242197,0.10000000000000002
SN2009kn,IIn,r',1.2474788761076703,55145.49453000001,47.63930584781597,0.10000000000000049
SN2016ieq,IIn,G,0.7700077067759132,58064.88237785628,30.572632202705016,1.5134781112756797
SN2021afry,IIn,G,1.2111495171801663,59553.55414000001,36.38914978560141,0.10000000000000002
SN2019qt,IIn,G,1.242903471949729,58506.80326540564,51.720438647290905,0.10000000000000002
SN2018gkf,IIn,G,1.2173298676285789,58395.977230000004,68.23233652353392,0.10000000000000002
SN2017ijn,IIn,G,1.344050563184833,58207.930530000005,162.54938386003997,0.12789390234680345
SN2007oe,IIn,g',1.0018081227313398,54360.33120000024,13.469716850400813,1.1307986642621315
SN2007oe,IIn,i',0.8567009426061645,54360.32871000003,17.696089956796936,1.1258243764782718
SN2007oe,IIn,r',0.8429488511435962,54360.327880000004,16.194319604444537,1.1790518952471032
SN2007oe,IIn,u',1.3037036799134003,54360.329540000006,26.975597368364433,0.12033257520325605
SN2007oe,IIn,z',0.7084417966835396,54381.34949887859,67.97025867353166,0.10123378811646544
SN2010bq,IIn,i',1.4230330311830561,55301.82872664405,10.756045797352664,0.5085736430088024
SN2010bq,IIn,r',1.4232084404056606,55301.4476087125,9.771320572525212,0.5824725624880815
SN2018zd,IIn,G,0.9030088253604736,58247.8817961155,15.102387592858486,0.8094798800183233
SN2007bb,IIn,i',1.163571463850512,54193.141310000006,10.894395502305159,0.945484838132222
SN2007bb,IIn,r',1.154923312010556,54193.14362000001,10.913313499226758,0.9575326356558022
SN2017grb,IIn,G,75.07308449153231,58003.81263000466,1.721376847523335,2.0000000167920726
Gaia16ajy,IIn,G,1.1887079696712752,57266.335810000004,52.11998173039714,0.10000000000000002
SN2008aj,IIn,i',1.3398909543683857,54553.281869648585,23.57483914963192,0.18220408010180203
SN2008aj,IIn,r',1.267791873248686,54552.448240000005,20.751667718596558,0.10000000000067819
SN2006bv,IIn_LBV,i',1.412916166360474,53853.27837000001,17.78884320680974,0.48220921425723706
SN2006bv,IIn_LBV,r',1.437425614733433,53853.276770000004,21.922572910867576,0.42906070420512343
SN2017hrq,IIn,G,1.213736974385441,58067.72486000001,173.22445915856767,0.10000000000000002
SN2018khh,IIn,G,1.3184606376643961,58539.00404000001,94.37083860045985,0.1354414855739944
