sn_name,sn_type,band,A,phi,sigma,k
SN2020aauc,Ic,G,1.1535747745623888,59198.790570000005,45.670915404683015,0.10000000000000002
SN2020byp,Ic,G,1.2755367151115526,58895.85750000002,30.055311946502506,0.1000000001744793
SN2021agqw,Ic,G,1.2687245589278717,59568.53949000004,31.46507764415155,0.10000000000386361
SN2007C,Ib,i',1.2355720645646366,54113.90754991945,23.535364287205258,0.10000000000004261
SN2007C,Ib,r',1.2189297619005866,54113.2704575602,22.140245843240926,0.10000000000000002
SN2005gt,Ic,g',1.4839935346397177,53634.36267646462,15.610681634459109,0.10013215025976317
SN2005gt,Ic,i',1.2083443943680159,53634.25761349357,28.416807516007093,0.10000000000000096
SN2005gt,Ic,r',1.4273665404514229,53633.411034057994,16.433363864661974,0.3940057458114134
SN2005gt,Ic,u',1.0214776688664793,53627.36905587971,42.59229120467326,0.10000246785487815
SN2005gt,Ic,z',0.7799146839572281,53632.4918325548,125.46956367785052,0.10000000000003187
SN2004gt,Ib_c,i',1.2373558165916578,53380.47221000001,26.587304706052876,0.10000000000000002
SN2004gt,Ib_c,r',1.1021875065160753,53380.470830000006,37.84211716209929,0.10000000000000002
2007ag,Ib,i',1.2336569211049617,54168.267216952634,24.577983477639265,0.10000000000000002
2007ag,Ib,r',1.2884857838507748,54164.48204582992,24.39212482873714,0.10000000000000002
SN2017hix,Ic,G,1.2614847218183687,58035.55298694906,52.210030671000595,0.10000000000000002
SN2017ewx,Ib,G,1.6343717983402128,57930.78348683743,55.21160811376388,0.10003757301770207
2008D,Ib,i',1.1090708992974025,54479.00779564698,19.445160750824694,0.7775388511671473
2008D,Ib,r',1.0962279492996274,54478.8934801508,17.084368591058357,0.7988505264871788
SDSS-II SN 15757,Ib_c,g',0.006110790845964112,54020.34494000286,5.651281742743574,3.757570013535176
SDSS-II SN 15757,Ib_c,i',0.008668753677708693,54020.342450000055,7.668004299027847,3.6034441357339344
SDSS-II SN 15757,Ib_c,r',0.0030578143475171863,54020.34162000001,6.266865437607146,4.072773912221888
SDSS-II SN 15757,Ib_c,u',0.0032469172895929705,54020.34328000001,5.174944244913097,4.037896130461514
SDSS-II SN 15757,Ib_c,z',1.1603407195550046,54031.02769606456,58.690259375404665,0.29262430557720187
SDSS-II SN 20866,Ib_c,g',2.7911088153750456,54394.34692079782,6.841252129108914,0.10000018989251844
SDSS-II SN 20866,Ib_c,i',1.0012986299303275,54391.88472099174,17.323686472709554,0.7886902761340485
SDSS-II SN 20866,Ib_c,r',1.1182355887676532,54402.250605332556,23.283062311804617,0.10000000000002028
SDSS-II SN 20866,Ib_c,u',4.7363756061273286,54394.34425523791,3.47988071591135,0.4044414044459356
SDSS-II SN 20866,Ib_c,z',0.8879380827885935,54382.362830000005,55.93811596585493,0.10000000000000002
SDSS-II SN 6367,Ib_c,g',1.5102226266703414,53651.10054001252,11.575825574550034,0.10000000000003555
SDSS-II SN 6367,Ib_c,i',0.9656303403684177,53668.02471343979,25.90494475015095,0.10000000000000092
SDSS-II SN 6367,Ib_c,r',1.6142505222736325,53653.913109951325,10.684176949009633,0.46789129864281076
SDSS-II SN 6367,Ib_c,u',1.6563655915008852,53656.09844049296,17.041482682114758,0.11372799085986386
SDSS-II SN 6367,Ib_c,z',0.5925906820957255,53651.09971000001,199.99999999999744,0.10000000000000055
SN2015K,Ic,G,1.2421563362839712,57141.64751000001,21.81588688296773,0.10000000000000002
2006el,Ib,i',1.2776889837575796,53979.463260000004,32.408690006451614,0.10000000000000002
2006el,Ib,r',1.2374752308493544,53979.46557000001,26.278465675588627,0.10000000000000256
SN2007kj,Ib_c,i',1.242361521151263,54377.112492512795,24.93721032775162,0.10000000000003473
SN2007kj,Ib_c,r',1.2172822343000564,54377.100608667584,19.9611020618016,0.10000000000129242
SDSS-II SN 5339,Ib_c,g',0.7494986713090533,53635.29121365707,10.158458622690999,1.286508355686307
SDSS-II SN 5339,Ib_c,i',1.563819670724942,53644.87794217516,19.31299421956704,0.19991654441875972
SDSS-II SN 5339,Ib_c,r',1.4311926564354716,53645.18304157375,25.225037629704175,0.10000089011821958
SDSS-II SN 5339,Ib_c,u',0.3354417010343844,53654.416334977985,10.997611387594649,1.19325895413249
SDSS-II SN 5339,Ib_c,z',1.1503880498495733,53636.13324494706,61.94543149618926,0.10001229477917538
SDSS-II SN 20874,Ib_c,g',0.6760630218541518,54416.17356859347,2.3228126878773896,1.3695779763288858
SDSS-II SN 20874,Ib_c,i',0.019252853477399107,54399.16285252653,5.295069479506606,3.271960121265046
SDSS-II SN 20874,Ib_c,r',0.9701465877128064,54418.473832512645,9.190906198099212,1.9432785166322797
SDSS-II SN 20874,Ib_c,u',1.5821970003685648,54397.29487011998,9.920476031479941,0.1000000111915123
SDSS-II SN 20874,Ib_c,z',0.6820445827773118,54415.47878054923,5.414475926883683,1.3215723402904318
2005kz,Ic,i',1.2129983438417935,53709.264527542524,38.529361367314806,0.10000000000000002
2005kz,Ic,r',1.2946493797326613,53705.064880000005,30.426160005985235,0.1318439789044091
SDSS-II SN 11241,Ib_c,g',0.7327838035704495,53693.86439915951,2.6126391629845496,1.2995830015079004
SDSS-II SN 11241,Ib_c,i',0.95173633093836,53698.837790536476,14.251434934827483,1.9082990287816068
SDSS-II SN 11241,Ib_c,r',0.6710545591266496,53695.123792380116,3.162643377840958,1.357949020249914
SDSS-II SN 11241,Ib_c,u',0.4921379399020283,53697.65586167261,2.203919253592988,1.0171270769716751
SDSS-II SN 11241,Ib_c,z',0.5291232742087494,53689.0807853047,7.211582772145493,1.113050017422292
SDSS-II SN 19190,Ib_c,g',1.3862470789323191,54411.97448390675,9.771192664301354,0.10000000000000484
SDSS-II SN 19190,Ib_c,i',1.303561860274105,54415.66444589831,18.443018960732047,0.10000000000000075
SDSS-II SN 19190,Ib_c,r',1.2328008941642878,54401.62686140954,45.88139122141132,0.10000000000002446
SDSS-II SN 19190,Ib_c,u',0.9373213650728596,54431.57763779242,17.22158864029271,2.8639494017347675
SDSS-II SN 19190,Ib_c,z',2.284731209239169,54416.13161658909,4.817209230824352,0.16045481993305083
SN2017iwh,Ic,G,1.2521222753338024,58091.174770000005,53.99328200687775,0.10000000000174615
SN2005mf,Ic,i',1.2486676322897297,53732.58601158869,27.792593602271403,0.10000000000000012
SN2005mf,Ic,r',1.2459699702490383,53732.85851538649,20.268129348762354,0.10000000000000012
SN2019svd,Ib_c,G,1.8200530704891351,58807.40067930104,6.4559846717774105,2.377801709173043
SN2017hfw,Ic,G,1.138761177525556,58082.01399000001,52.43165385186505,0.10000000002699382
SN2020nf,Ic,G,1.6455605238366797,58853.32224682367,19.84930291170293,0.3792224414407468
SN2019wzj,Ic,G,0.8802454227595555,58846.46502506494,33.24886391382569,0.1665298064961911
SN2018cim,Ib,G,1.2318116631897014,58315.71086000001,51.536575493321955,0.10000000000000002
SN2021kos,Ib,G,0.8735818337590595,59340.01661158969,8.010237184088275,1.6301691924406851
SDSS-II SN 17107,Ib_c,g',0.25962250688372324,53989.41390000001,199.99999999713293,0.16853550500075457
SDSS-II SN 17107,Ib_c,i',4.135205438186179,54059.32424351455,0.7246586744997469,0.5534326515298039
SDSS-II SN 17107,Ib_c,r',0.9226665411281021,54010.34927351413,15.44978055492782,0.10000000000000002
SDSS-II SN 17107,Ib_c,u',0.4689790498127913,54040.28032932092,0.2604468234319305,6.500261942233682
SDSS-II SN 17107,Ib_c,z',0.7810194106894647,54024.017505886106,18.4901882887388,0.644241893459707
SDSS-II SN 20999,Ib_c,g',0.8153275427636101,54357.34419684602,49.286543970689635,0.11258438603210615
SDSS-II SN 20999,Ib_c,i',0.7056249576733936,54347.36623352805,24.79568392479933,0.1000018532972225
SDSS-II SN 20999,Ib_c,r',0.47840620182521765,54359.37262170672,51.951020979014736,0.11097885193594814
SDSS-II SN 20999,Ib_c,u',0.9729194836171369,54422.48865721198,17.880769883895972,2.4874492949173304
SDSS-II SN 20999,Ib_c,z',0.36115734564117646,54375.228454060765,13.981977792650845,0.8599756590840366
SN2019uda,Ib_c,G,0.7930316511557371,58802.5391724981,15.032581258374206,1.5316981265425273
2007iq,Ic/Ic-BL,i',1.117224525829804,54358.43263000001,54.061520251614766,0.10000000000000002
2007iq,Ic/Ic-BL,r',1.1039245307164485,54358.434940000174,58.052078560928365,0.10000000000000868
SN2021hrj,Ib,G,1.2673940743589462,59324.28861325576,44.99043292952842,0.10000000000000007
2004fe,Ic,i',0.8428456903178919,53319.985771633066,0.5695561345948726,1.6980725646577346
2004fe,Ic,r',0.9874326385307376,53320.390312242635,3.817490648054859,1.9761220132060313
SN2006bf,Ib,i',1.2447304566105617,53822.39201000001,21.029614946553124,0.10000000000000003
SN2006bf,Ib,r',1.2425358214746032,53822.38970000001,21.674494427541894,0.10000000000000002
2009iz,Ib,i',0.7319005639717009,55090.684243487915,18.68674986493275,1.2263824731681088
2009iz,Ib,r',0.9446876454917703,55091.82473573316,18.1185705454978,0.9957079960464799
2009iz,Ib,u',0.06187679670579664,55090.43785000001,5.615607412898178,2.586451269576275
2004gk,Ic,i',1.2182520584789989,53433.447570000004,45.6782916838997,0.10000000000000002
2004gk,Ic,r',1.1992260397788497,53433.44589000001,50.91197641486536,0.10000000000001655
SN2018oz,Ic,G,1.245055538612856,58147.24985000026,38.60045133272309,0.10000000002059278
2006lv,Ib,i',1.1948510700900725,54038.490580000005,52.73122896932948,0.10000000000000048
2006lv,Ib,r',1.0879862255936557,54040.48866000011,52.691193036502554,0.10000000000001034
2004gq,Ib,i',1.5601243020852174,53351.36433727382,34.212915485469374,0.19919998869263236
