sn_name,sn_type,band,t0,t1,A,B,Tfall,Trise
SN2020acyl,Ic,G,59202.31712455653,59241.64555521258,1.8403680735379773,0.00025116478550958783,40.910464091571455,99.99439585485422
SN2020nf,Ic,G,58872.19534554416,58915.77535761882,0.09294240544213929,0.34881584586243747,13.04987623251622,0.6709995226754129
2004gq,Ib,i',53337.31310000001,53337.31310000001,2.7179794073908403,0.0025997517116433627,17.09599336410902,99.99999973539488
2004gq,Ib,r',53352.6860628549,53381.72785101373,5.427965473460782,0.0005497812014709389,23.429850985499904,99.99189944475923
SN2010gx,Ic,g',55283.796311594575,55283.28080939543,1.8765416001171153,4.4516601983890516e-20,15.25586185642085,9.44505620504627
SN2010gx,Ic,i',55264.769521304246,55257.69458909849,1.0039978685099469,0.008407591849021633,14.409616596324845,99.98051962585534
SN2010gx,Ic,r',55261.94340361107,55253.27700001435,0.6012242962473913,0.012230841381907047,12.940925807178857,25.531443992860517
SN2010gx,Ic,u',55280.72616372069,55311.48317542506,1.6275646171167988,8.775531507867835e-17,11.739890216689536,7.587045363059611
SN2010gx,Ic,z',55270.299599306665,55259.42171648129,1.0287268358133532,0.00531207611802372,15.875083444406984,99.60673334943716
SDSS-II SN 6520,Ib_c,g',53677.241589614125,53671.382103037016,0.7638340045632857,0.021173069182003488,6.7072266445951625,5.239274745557171
SDSS-II SN 6520,Ib_c,i',53615.89847026192,53666.2545075847,0.8259089669850196,3.2401541328746313,10.709744478389213,99.99539136572362
SDSS-II SN 6520,Ib_c,r',53677.24076999999,53668.7260323791,0.7759079750940527,0.008721721741044372,10.254576518023931,6.95277000860016
SDSS-II SN 6520,Ib_c,u',53628.61689581982,53646.39759095185,8.124748618324585e-06,769.6264984139854,15.93505537215467,0.2152296376810362
SDSS-II SN 6520,Ib_c,z',53622.16288584625,53633.69794910368,0.5005049664724727,0.0016101446399184266,49.252239181631644,50.135725235494455
SN2019tls,Ib,G,58806.082741598395,58850.27061803449,0.011738838650592215,0.07953024021354188,27.350827117089786,2.121921560841833
SN2017iwh,Ic,G,58124.176593681994,58161.820445120866,1.095716586988233,0.0011569851055678578,27.45819946728624,9.841127623460826
SDSS-II SN 13482,Ib_c,g',54025.41644999999,54041.14783581901,0.056538295395747874,0.013585158728117155,99.99999999999999,81.11954198573314
SDSS-II SN 13482,Ib_c,i',53969.68828411061,53960.418942791395,2.0933136263066605,0.0012430209755925476,20.441732976555926,99.96495135137593
SDSS-II SN 13482,Ib_c,r',53998.62977440951,54030.80717042466,0.2856990036625878,0.00545062803066176,30.03262239849553,3.315769396252307
SDSS-II SN 13482,Ib_c,u',54043.33322195982,54048.56739970818,0.24394162730873808,0.0049189356572372,99.80271274073975,15.543890904103854
SDSS-II SN 13482,Ib_c,z',54044.44173999982,54051.563569815684,0.12210641166854817,0.03892645784371627,99.9996356581044,22.665878219749743
SN2020dhm,Ic,G,57422.75197316204,57395.2454397007,11.459477032186529,11.8732089969684,76.86083078569023,50.0
SN2021rjj,Ib,G,59414.14861154389,59413.3179766885,1.9947045930294947,0.8458388616812498,99.99989162335427,1.9376280838596749
SN2019klq,Ib,G,58689.586731934716,58743.871391620945,0.7054059774638878,0.00016529780253346675,48.823887923921355,0.10000366902893824
SN2007kj,Ib_c,i',54378.60366827819,54409.81622978389,1.0607986938753091,0.0007251501113011499,28.515182527348045,4.204082464168632
SN2007kj,Ib_c,r',54377.89603788529,54396.32286676497,1.2380123732263402,0.0012448970288454079,18.79970042558225,3.0094181166059584
